t_s,T_degC,V_V,SoC,degradation,deg_rate_1_s
0.0,27.33,3.15679,0.48194,0.0,0.0
60.0,29.098,3.09375,0.46086,0.0,0.0
120.0,30.082,3.07236,0.44113,0.0,0.0
180.0,30.12,3.14796,0.4316,0.0,0.0
240.0,30.165,3.12552,0.42149,1e-08,0.0
300.0,30.397,3.06061,0.40692,1e-08,0.0
360.0,30.264,3.1081,0.3991,1e-08,0.0
420.0,30.437,3.0269,0.38494,1e-08,0.0
480.0,30.533,3.00483,0.37096,1e-08,0.0
540.0,30.471,3.00846,0.35954,1e-08,0.0
600.0,30.383,3.00278,0.34941,1e-08,0.0
660.0,30.321,2.9876,0.33946,1e-08,0.0
720.0,30.276,2.97265,0.3297,1e-08,0.0
780.0,30.305,2.94023,0.31846,1e-08,0.0
840.0,30.342,2.91618,0.30676,1e-08,0.0
900.0,30.382,2.89221,0.29468,1e-08,0.0
960.0,30.587,2.83488,0.27916,2e-08,0.0
1020.0,30.624,2.82538,0.26522,2e-08,0.0
1080.0,30.581,2.81586,0.2526,2e-08,0.0
1140.0,30.707,2.76389,0.23713,2e-08,0.0
1200.0,30.504,2.80198,0.22768,2e-08,0.0
1260.0,30.365,2.79049,0.21865,2e-08,0.0
1320.0,30.417,2.73751,0.20611,2e-08,0.0
1380.0,30.284,2.76351,0.19799,2e-08,0.0
1440.0,30.2,2.75039,0.18994,2e-08,0.0
1500.0,30.281,2.69682,0.17815,2e-08,0.0
1560.0,30.315,2.68084,0.16675,2e-08,0.0
1620.0,30.509,2.62392,0.15184,3e-08,0.0
1680.0,30.513,2.62254,0.13917,3e-08,0.0
1740.0,30.474,2.61057,0.12739,3e-08,0.0
1800.0,30.444,2.59199,0.11575,3e-08,0.0
1860.0,30.35,2.59295,0.10604,3e-08,0.0
1920.0,30.236,2.59607,0.09818,3e-08,0.0
1980.0,30.207,2.56766,0.0889,3e-08,0.0
2040.0,30.35,2.51032,0.07574,3e-08,0.0
2100.0,30.28,2.52884,0.0664,3e-08,0.0
2160.0,30.283,2.49891,0.05575,0.00230504,3.84168e-05
2220.0,30.193,2.51124,0.04794,0.00230504,0.0
2280.0,30.397,2.4292,0.03371,0.21857417,0.0036044855
