t_s,T_degC,V_V,SoC,degradation,deg_rate_1_s
0.0,27.33,3.15679,0.48194,0.0,0.0
60.0,29.098,3.09375,0.46086,0.0,0.0
120.0,30.082,3.07236,0.44113,0.0,0.0
180.0,30.295,3.10426,0.42752,1e-08,0.0
240.0,30.471,3.07221,0.41307,1e-08,0.0
300.0,31.019,2.97948,0.39226,1e-08,0.0
360.0,30.761,3.04732,0.38109,1e-08,0.0
420.0,31.151,2.93132,0.36085,1e-08,0.0
480.0,31.371,2.8998,0.34088,1e-08,0.0
540.0,31.247,2.90498,0.32457,1e-08,0.0
600.0,31.062,2.89686,0.31009,1e-08,0.0
660.0,30.932,2.87517,0.29589,2e-08,0.0
720.0,30.838,2.85382,0.28195,2e-08,0.0
780.0,30.901,2.80751,0.26589,2e-08,0.0
840.0,30.983,2.77314,0.24917,2e-08,0.0
900.0,31.069,2.7389,0.23191,2e-08,0.0
960.0,31.504,2.65701,0.20974,2e-08,0.0
1020.0,31.585,2.64343,0.18982,2e-08,0.0
1080.0,31.494,2.62984,0.1718,2e-08,0.0
1140.0,31.761,2.55559,0.1497,3e-08,0.0
1200.0,31.328,2.61,0.13619,3e-08,0.0
1260.0,31.03,2.59359,0.1233,3e-08,0.0
1320.0,31.143,2.5179,0.10539,3e-08,0.0
1380.0,30.856,2.55504,0.09379,3e-08,0.0
1440.0,30.675,2.53631,0.08228,3e-08,0.0
1500.0,30.85,2.45977,0.06545,0.10399978,0.0017333291
1560.0,30.923,2.43694,0.04916,0.28851566,0.0030752647
