g_motor_norm,Q_active_cat,Q_active_dog
0.4112,14.4367,6.7937
0.4131,14.4835,6.8158
0.415,14.5307,6.838
0.4169,14.5781,6.8603
0.4188,14.6259,6.8828
0.4207,14.6739,6.9054
0.4226,14.7223,6.9281
0.4245,14.771,6.9511
0.4265,14.8201,6.9741
0.4284,14.8694,6.9974
0.4303,14.9191,7.0208
0.4322,14.9691,7.0443
0.4341,15.0195,7.068
0.436,15.0702,7.0918
0.4379,15.1212,7.1159
0.4398,15.1726,7.14
0.4417,15.2243,7.1644
0.4436,15.2764,7.1889
0.4455,15.3289,7.2136
0.4474,15.3817,7.2384
0.4493,15.4349,7.2635
0.4512,15.4884,7.2887
0.4531,15.5423,7.314
0.455,15.5966,7.3396
0.4569,15.6513,7.3653
0.4588,15.7064,7.3912
0.4607,15.7618,7.4173
0.4626,15.8176,7.4436
0.4645,15.8739,7.4701
0.4664,15.9305,7.4967
0.4683,15.9876,7.5236
0.4702,16.045,7.5506
0.4721,16.1029,7.5778
0.474,16.1612,7.6053
0.476,16.2199,7.6329
0.4779,16.279,7.6607
0.4798,16.3386,7.6888
0.4817,16.3986,7.717
0.4836,16.4591,7.7454
0.4855,16.52,7.7741
0.4874,16.5813,7.803
0.4893,16.6431,7.8321
0.4912,16.7054,7.8614
0.4931,16.7681,7.8909
0.495,16.8313,7.9206
0.4969,16.895,7.9506
0.4988,16.9592,7.9808
0.5007,17.0239,8.0112
0.5026,17.089,8.0419
0.5045,17.1547,8.0728
0.5064,17.2209,8.1039
0.5083,17.2875,8.1353
0.5102,17.3547,8.1669
0.5121,17.4225,8.1988
0.514,17.4907,8.2309
0.5159,17.5595,8.2633
0.5178,17.6288,8.2959
0.5197,17.6987,8.3288
0.5216,17.7692,8.362
0.5235,17.8402,8.3954
0.5255,17.9117,8.4291
0.5274,17.9839,8.463
0.5293,18.0566,8.4972
0.5312,18.1299,8.5317
0.5331,18.2039,8.5665
0.535,18.2784,8.6016
0.5369,18.3535,8.637
0.5388,18.4293,8.6726
0.5407,18.5057,8.7086
0.5426,18.5827,8.7448
0.5445,18.6604,8.7813
0.5464,18.7387,8.8182
0.5483,18.8177,8.8554
0.5502,18.8973,8.8928
0.5521,18.9776,8.9306
0.554,19.0586,8.9688
0.5559,19.1403,9.0072
0.5578,19.2228,9.046
0.5597,19.3059,9.0851
0.5616,19.3897,9.1246
0.5635,19.4743,9.1644
0.5654,19.5596,9.2045
0.5673,19.6457,9.245
0.5692,19.7325,9.2859
0.5711,19.8201,9.3271
0.573,19.9085,9.3687
0.5749,19.9976,9.4107
0.5769,20.0876,9.453
0.5788,20.1784,9.4957
0.5807,20.27,9.5388
0.5826,20.3625,9.5823
0.5845,20.4558,9.6262
0.5864,20.5499,9.6705
0.5883,20.6449,9.7153
0.5902,20.7408,9.7604
0.5921,20.8376,9.8059
0.594,20.9353,9.8519
0.5959,21.034,9.8983
0.5978,21.1335,9.9452
0.5997,21.234,9.9925
0.6016,21.3355,10.0402
0.6035,21.438,10.0885
0.6054,21.5414,10.1371
0.6073,21.6458,10.1863
0.6092,21.7513,10.2359
