t_s,x,dx_dt
0.046512,1.988002,6.871996
0.046762,1.989659,6.381146
0.047012,1.991193,5.889903
0.047262,1.992605,5.398296
0.047512,1.993893,4.906356
0.047762,1.995058,4.414113
0.048012,1.996101,3.921598
0.048262,1.99702,3.428841
0.048512,1.997816,2.935872
0.048762,1.998488,2.442722
0.049012,1.999037,1.949421
0.049262,1.999463,1.456
0.049512,1.999765,0.962489
0.049762,1.999944,0.468919
0.050013,2.0,-0.02468
0.050263,1.999932,-0.518278
0.050513,1.999741,-1.011844
0.050763,1.999426,-1.505347
0.051013,1.998988,-1.998757
0.051263,1.998426,-2.492044
0.051513,1.997741,-2.985178
0.051763,1.996933,-3.478127
0.052013,1.996002,-3.970861
0.052263,1.994947,-4.46335
0.052513,1.99377,-4.955564
0.052763,1.992469,-5.447472
0.053013,1.991045,-5.939044
0.053263,1.989499,-6.430249
0.053513,1.987829,-6.921058
0.053763,1.986037,-7.411439
0.054014,1.984123,-7.901363
0.054264,1.982086,-8.390799
0.054514,1.979926,-8.879718
0.054764,1.977645,-9.368088
0.055014,1.975241,-9.85588
0.055264,1.972716,-10.343064
0.055514,1.970069,-10.82961
0.055764,1.9673,-11.315487
0.056014,1.964409,-11.800666
0.056264,1.961398,-12.285117
0.056514,1.958265,-12.768809
0.056764,1.955012,-13.251714
0.057014,1.951638,-13.733801
0.057264,1.948143,-14.21504
0.057514,1.944529,-14.695401
0.057764,1.940794,-15.174856
0.058015,1.936939,-15.653374
0.058265,1.932965,-16.130927
0.058515,1.928872,-16.607483
0.058765,1.92466,-17.083015
0.059015,1.920329,-17.557493
0.059265,1.915879,-18.030886
0.059515,1.911311,-18.503168
0.059765,1.906625,-18.974307
0.060015,1.901822,-19.444275
0.060265,1.896901,-19.913043
0.060515,1.891863,-20.380582
0.060765,1.886708,-20.846864
0.061015,1.881437,-21.311859
0.061265,1.876049,-21.775538
0.061515,1.870546,-22.237874
0.061765,1.864928,-22.698837
0.062016,1.859194,-23.158399
0.062266,1.853346,-23.616533
0.062516,1.847383,-24.073208
0.062766,1.841306,-24.528398
0.063016,1.835116,-24.982074
0.063266,1.828812,-25.434209
0.063516,1.822396,-25.884773
0.063766,1.815867,-26.333741
0.064016,1.809226,-26.781083
0.064266,1.802473,-27.226772
0.064516,1.795609,-27.670781
0.064766,1.788634,-28.113082
0.065016,1.781549,-28.553648
0.065266,1.774354,-28.992452
0.065516,1.767049,-29.429467
0.065766,1.759636,-29.864665
0.066017,1.752114,-30.29802
0.066267,1.744483,-30.729506
0.066517,1.736745,-31.159095
0.066767,1.7289,-31.58676
0.067017,1.720948,-32.012477
0.067267,1.71289,-32.436218
0.067517,1.704726,-32.857957
0.067767,1.696457,-33.277668
0.068017,1.688083,-33.695326
0.068267,1.679605,-34.110903
0.068517,1.671024,-34.524376
0.068767,1.662339,-34.935718
0.069017,1.653552,-35.344904
0.069267,1.644662,-35.751909
0.069517,1.635671,-36.156707
0.069767,1.626579,-36.559274
0.070018,1.617387,-36.959584
0.070268,1.608095,-37.357614
0.070518,1.598704,-37.753338
0.070768,1.589214,-38.146732
0.071018,1.579626,-38.537772
0.071268,1.569941,-38.926433
0.071518,1.560158,-39.312692
0.071768,1.550279,-39.696525
0.072018,1.540305,-40.077908
0.072268,1.530236,-40.456817
0.072518,1.520072,-40.83323
0.072768,1.509814,-41.207122
0.073018,1.499463,-41.578472
0.073268,1.48902,-41.947255
0.073518,1.478485,-42.31345
0.073768,1.467858,-42.677033
0.074019,1.457141,-43.037983
0.074269,1.446334,-43.396276
0.074519,1.435438,-43.751891
0.074769,1.424453,-44.104806
0.075019,1.41338,-44.454999
0.075269,1.40222,-44.802448
0.075519,1.390973,-45.147133
0.075769,1.379641,-45.489031
0.076019,1.368224,-45.828122
0.076269,1.356722,-46.164384
0.076519,1.345136,-46.497797
0.076769,1.333467,-46.828341
0.077019,1.321716,-47.155995
0.077269,1.309883,-47.480738
0.077519,1.29797,-47.802551
0.077769,1.285976,-48.121414
0.07802,1.273903,-48.437307
0.07827,1.261752,-48.750211
0.07852,1.249523,-49.060106
0.07877,1.237216,-49.366974
0.07902,1.224833,-49.670794
0.07927,1.212375,-49.971549
0.07952,1.199841,-50.269221
0.07977,1.187234,-50.563789
0.08002,1.174553,-50.855238
0.08027,1.1618,-51.143547
0.08052,1.148975,-51.4287
0.08077,1.13608,-51.71068
0.08102,1.123114,-51.989468
0.08127,1.110079,-52.265047
0.08152,1.096975,-52.537401
0.08177,1.083804,-52.806513
0.082021,1.070566,-53.072365
0.082271,1.057261,-53.334942
0.082521,1.043892,-53.594228
0.082771,1.030458,-53.850206
0.083021,1.01696,-54.10286
0.083271,1.0034,-54.352176
0.083521,0.989778,-54.598137
0.083771,0.976094,-54.840728
0.084021,0.962351,-55.079935
0.084271,0.948548,-55.315743
0.084521,0.934686,-55.548137
0.084771,0.920767,-55.777103
0.085021,0.906791,-56.002626
0.085271,0.892759,-56.224694
0.085521,0.878672,-56.443291
0.085771,0.86453,-56.658405
0.086022,0.850336,-56.870022
0.086272,0.836089,-57.078129
0.086522,0.82179,-57.282714
0.086772,0.80744,-57.483763
0.087022,0.793041,-57.681265
0.087272,0.778593,-57.875207
0.087522,0.764097,-58.065578
0.087772,0.749553,-58.252364
0.088022,0.734963,-58.435556
0.088272,0.720328,-58.615141
0.088522,0.705649,-58.791109
0.088772,0.690926,-58.963448
0.089022,0.67616,-59.132149
0.089272,0.661353,-59.2972
0.089522,0.646504,-59.458591
0.089772,0.631616,-59.616313
0.090023,0.616689,-59.770356
0.090273,0.601724,-59.92071
0.090523,0.586721,-60.067366
0.090773,0.571683,-60.210315
0.091023,0.556609,-60.349548
0.091273,0.541501,-60.485057
0.091523,0.526359,-60.616832
0.091773,0.511185,-60.744867
0.092023,0.49598,-60.869152
0.092273,0.480743,-60.989681
0.092523,0.465477,-61.106447
0.092773,0.450183,-61.21944
0.093023,0.43486,-61.328656
0.093273,0.419511,-61.434087
0.093523,0.404136,-61.535726
0.093773,0.388736,-61.633568
0.094024,0.373312,-61.727606
0.094274,0.357865,-61.817834
0.094524,0.342395,-61.904247
0.094774,0.326905,-61.98684
0.095024,0.311395,-62.065607
0.095274,0.295865,-62.140544
0.095524,0.280317,-62.211645
0.095774,0.264752,-62.278908
0.096024,0.24917,-62.342326
0.096274,0.233573,-62.401898
0.096524,0.217962,-62.457618
0.096774,0.202337,-62.509483
0.097024,0.186699,-62.557491
0.097274,0.17105,-62.601638
0.097524,0.155391,-62.641921
0.097774,0.139722,-62.678338
0.098025,0.124044,-62.710888
0.098275,0.108359,-62.739566
0.098525,0.092667,-62.764373
0.098775,0.076969,-62.785307
0.099025,0.061267,-62.802365
0.099275,0.045561,-62.815548
0.099525,0.029851,-62.824854
0.099775,0.014141,-62.830283
0.100025,-0.001571,-62.831834
0.100275,-0.017283,-62.829507
0.100525,-0.032993,-62.823303
0.100775,-0.048702,-62.813222
0.101025,-0.064408,-62.799264
0.101275,-0.080109,-62.78143
0.101525,-0.095806,-62.759722
0.101775,-0.111497,-62.73414
0.102026,-0.12718,-62.704687
0.102276,-0.142856,-62.671364
0.102526,-0.158524,-62.634174
0.102776,-0.174181,-62.593117
0.103026,-0.189828,-62.548198
0.103276,-0.205463,-62.499419
0.103526,-0.221085,-62.446782
0.103776,-0.236694,-62.390291
0.104026,-0.252288,-62.32995
0.104276,-0.267866,-62.265763
0.104526,-0.283428,-62.197732
0.104776,-0.298972,-62.125863
0.105026,-0.314498,-62.05016
0.105276,-0.330005,-61.970627
0.105526,-0.345491,-61.88727
0.105776,-0.360956,-61.800093
0.106027,-0.376398,-61.709103
0.106277,-0.391818,-61.614304
0.106527,-0.407213,-61.515702
0.106777,-0.422583,-61.413304
0.107027,-0.437927,-61.307116
0.107277,-0.453244,-61.197144
0.107527,-0.468533,-61.083395
0.107777,-0.483793,-60.965877
0.108027,-0.499023,-60.844596
0.108277,-0.514223,-60.719559
0.108527,-0.52939,-60.590776
0.108777,-0.544525,-60.458253
0.109027,-0.559627,-60.321999
0.109277,-0.574693,-60.182022
0.109527,-0.589725,-60.038331
0.109777,-0.60472,-59.890935
0.110028,-0.619677,-59.739842
0.110278,-0.634597,-59.585063
0.110528,-0.649477,-59.426606
0.110778,-0.664317,-59.264482
0.111028,-0.679116,-59.0987
0.111278,-0.693874,-58.929271
0.111528,-0.708588,-58.756205
0.111778,-0.723259,-58.579513
0.112028,-0.737885,-58.399206
0.112278,-0.752466,-58.215294
0.112528,-0.767,-58.02779
0.112778,-0.781486,-57.836704
0.113028,-0.795925,-57.642049
0.113278,-0.810314,-57.443837
0.113528,-0.824654,-57.242079
0.113778,-0.838942,-57.036789
0.114029,-0.853179,-56.827979
0.114279,-0.867363,-56.615661
0.114529,-0.881494,-56.39985
0.114779,-0.89557,-56.180557
0.115029,-0.909591,-55.957798
0.115279,-0.923555,-55.731585
0.115529,-0.937463,-55.501932
0.115779,-0.951313,-55.268854
0.116029,-0.965104,-55.032365
0.116279,-0.978836,-54.79248
0.116529,-0.992507,-54.549214
0.116779,-1.006117,-54.30258
0.117029,-1.019665,-54.052596
0.117279,-1.03315,-53.799275
0.117529,-1.046571,-53.542635
0.117779,-1.059927,-53.28269
0.11803,-1.073219,-53.019456
0.11828,-1.086443,-52.75295
0.11853,-1.099601,-52.483189
0.11878,-1.112691,-52.210189
0.11903,-1.125713,-51.933966
0.11928,-1.138665,-51.654539
0.11953,-1.151546,-51.371923
0.11978,-1.164357,-51.086137
0.12003,-1.177095,-50.797198
0.12028,-1.189761,-50.505125
