t_ms,u_cat_D0.029,u_dog_D0.071
0.46273,1.886417,1.774957
0.46523,1.889673,1.77792
0.46773,1.892706,1.780685
0.47024,1.895516,1.783251
0.47274,1.898102,1.785619
0.47524,1.900464,1.787787
0.47774,1.902602,1.789755
0.48024,1.904514,1.791525
0.48274,1.906202,1.793095
0.48524,1.907665,1.794467
0.48774,1.908902,1.795639
0.49025,1.909913,1.796612
0.49275,1.910699,1.797386
0.49525,1.91126,1.797962
0.49775,1.911595,1.79834
0.50025,1.911704,1.79852
0.50275,1.911589,1.798503
0.50525,1.911248,1.798288
0.50775,1.910683,1.797878
0.51026,1.909893,1.797271
0.51276,1.90888,1.796469
0.51526,1.907643,1.795472
0.51776,1.906183,1.794282
0.52026,1.904501,1.792898
0.52276,1.902598,1.791321
0.52526,1.900473,1.789553
0.52776,1.898128,1.787594
0.53027,1.895563,1.785445
0.53277,1.892779,1.783107
0.53527,1.889778,1.780581
0.53777,1.88656,1.777868
0.54027,1.883126,1.77497
0.54277,1.879477,1.771887
0.54527,1.875614,1.76862
0.54777,1.871539,1.765171
0.55028,1.867252,1.761541
0.55278,1.862755,1.757731
0.55528,1.85805,1.753743
0.55778,1.853137,1.749577
0.56028,1.848018,1.745236
0.56278,1.842694,1.740722
0.56528,1.837167,1.736034
0.56778,1.831438,1.731175
0.57029,1.82551,1.726147
0.57279,1.819383,1.720951
0.57529,1.81306,1.715589
0.57779,1.806542,1.710062
0.58029,1.79983,1.704373
0.58279,1.792928,1.698522
0.58529,1.785836,1.692513
0.58779,1.778557,1.686346
0.5903,1.771092,1.680023
0.5928,1.763443,1.673547
0.5953,1.755614,1.666919
0.5978,1.747605,1.660142
0.6003,1.739418,1.653216
0.6028,1.731057,1.646146
0.6053,1.722523,1.638931
0.6078,1.713819,1.631576
0.61031,1.704947,1.624081
0.61281,1.695908,1.616448
0.61531,1.686706,1.608681
0.61781,1.677343,1.600781
0.62031,1.667822,1.592751
0.62281,1.658145,1.584592
0.62531,1.648314,1.576307
0.62781,1.638332,1.567899
0.63032,1.628201,1.55937
0.63282,1.617925,1.550722
0.63532,1.607506,1.541957
0.63782,1.596947,1.533078
0.64032,1.58625,1.524088
0.64282,1.575418,1.514988
0.64532,1.564454,1.505782
0.64782,1.55336,1.496471
0.65033,1.542141,1.487059
0.65283,1.530798,1.477548
0.65533,1.519334,1.467941
0.65783,1.507753,1.45824
0.66033,1.496057,1.448447
0.66283,1.48425,1.438566
0.66533,1.472334,1.428598
0.66783,1.460312,1.418547
0.67034,1.448188,1.408416
0.67284,1.435964,1.398207
0.67534,1.423644,1.387922
0.67784,1.411231,1.377564
0.68034,1.398728,1.367137
0.68284,1.386138,1.356642
0.68534,1.373464,1.346083
0.68784,1.36071,1.335462
0.69035,1.347878,1.324783
0.69285,1.334973,1.314047
0.69535,1.321996,1.303257
0.69785,1.308952,1.292418
0.70035,1.295844,1.28153
0.70285,1.282675,1.270597
0.70535,1.269449,1.259622
0.70785,1.256168,1.248608
0.71036,1.242836,1.237557
0.71286,1.229456,1.226472
0.71536,1.216033,1.215356
0.71786,1.202568,1.204212
0.72036,1.189066,1.193042
0.72286,1.175529,1.18185
0.72536,1.161962,1.170638
0.72786,1.148367,1.159409
0.73037,1.134748,1.148167
0.73287,1.121109,1.136912
0.73537,1.107452,1.125649
0.73787,1.093781,1.114381
0.74037,1.0801,1.103109
0.74287,1.066412,1.091838
0.74537,1.05272,1.080569
0.74787,1.039027,1.069305
0.75038,1.025338,1.05805
0.75288,1.011655,1.046805
0.75538,0.997982,1.035574
0.75788,0.984322,1.02436
0.76038,0.970678,1.013164
0.76288,0.957054,1.001991
0.76538,0.943453,0.990842
0.76788,0.929879,0.97972
0.77039,0.916335,0.968629
0.77289,0.902824,0.957569
0.77539,0.88935,0.946546
0.77789,0.875915,0.93556
0.78039,0.862523,0.924614
0.78289,0.849177,0.913712
0.78539,0.835882,0.902856
0.78789,0.822638,0.892047
0.7904,0.809451,0.88129
0.7929,0.796324,0.870586
0.7954,0.783258,0.859938
0.7979,0.770258,0.849349
0.8004,0.757327,0.83882
0.8029,0.744468,0.828355
0.8054,0.731684,0.817955
0.8079,0.718977,0.807624
0.81041,0.706352,0.797364
0.81291,0.693811,0.787176
0.81541,0.681357,0.777064
0.81791,0.668994,0.767029
0.82041,0.656723,0.757075
0.82291,0.644549,0.747202
0.82541,0.632474,0.737414
0.82791,0.6205,0.727713
0.83042,0.608631,0.718101
0.83292,0.59687,0.70858
0.83542,0.585219,0.699152
0.83792,0.573682,0.68982
0.84042,0.56226,0.680585
0.84292,0.550957,0.67145
0.84542,0.539775,0.662416
0.84792,0.528717,0.653485
0.85043,0.517786,0.64466
0.85293,0.506984,0.635943
0.85543,0.496313,0.627335
0.85793,0.485777,0.618838
0.86043,0.475377,0.610454
0.86293,0.465117,0.602186
0.86543,0.454998,0.594033
0.86793,0.445023,0.586
0.87044,0.435194,0.578086
0.87294,0.425514,0.570294
0.87544,0.415984,0.562626
0.87794,0.406608,0.555083
0.88044,0.397386,0.547667
0.88294,0.388322,0.540378
0.88544,0.379417,0.53322
0.88794,0.370674,0.526193
0.89045,0.362094,0.519298
0.89295,0.35368,0.512538
0.89545,0.345433,0.505912
0.89795,0.337355,0.499424
0.90045,0.329448,0.493074
0.90295,0.321714,0.486863
0.90545,0.314154,0.480792
0.90795,0.306771,0.474863
0.91046,0.299566,0.469077
0.91296,0.29254,0.463435
0.91546,0.285696,0.457938
0.91796,0.279034,0.452587
0.92046,0.272557,0.447383
0.92296,0.266264,0.442328
0.92546,0.260159,0.437421
0.92796,0.254242,0.432663
0.93047,0.248515,0.428057
0.93297,0.242979,0.423602
0.93547,0.237634,0.419299
0.93797,0.232483,0.415149
0.94047,0.227526,0.411152
0.94297,0.222764,0.40731
0.94547,0.218198,0.403623
0.94797,0.21383,0.400091
0.95048,0.20966,0.396715
0.95298,0.205689,0.393495
0.95548,0.201917,0.390433
0.95798,0.198346,0.387527
0.96048,0.194976,0.384779
0.96298,0.191808,0.382189
0.96548,0.188843,0.379758
0.96798,0.186081,0.377484
0.97049,0.183521,0.37537
0.97299,0.181166,0.373414
0.97549,0.179016,0.371617
0.97799,0.17707,0.369979
0.98049,0.175328,0.368501
0.98299,0.173792,0.367181
0.98549,0.172462,0.366021
0.98799,0.171337,0.36502
0.9905,0.170417,0.364177
0.993,0.169704,0.363493
0.9955,0.169195,0.362968
0.998,0.168893,0.362601
1.0005,0.168796,0.362392
1.003,0.168904,0.362341
1.0055,0.169217,0.362448
1.008,0.169735,0.362711
1.01051,0.170458,0.363131
1.01301,0.171384,0.363707
1.01551,0.172515,0.364439
1.01801,0.173848,0.365326
