f_Hz,H_cat,H_dog
656.43,1.753124,1.733774
658.88,1.763035,1.743215
661.33,1.773097,1.752791
663.78,1.783311,1.762506
666.23,1.793682,1.772362
668.68,1.804212,1.782362
671.14,1.814904,1.792508
673.59,1.825764,1.802805
676.04,1.836794,1.813254
678.49,1.847998,1.82386
680.94,1.85938,1.834624
683.39,1.870944,1.845552
685.84,1.882694,1.856645
688.29,1.894634,1.867907
690.75,1.90677,1.879343
693.2,1.919104,1.890956
695.65,1.931643,1.902749
698.1,1.944391,1.914726
700.55,1.957353,1.926892
703.0,1.970534,1.939251
705.45,1.98394,1.951806
707.9,1.997575,1.964563
710.36,2.011446,1.977525
712.81,2.025559,1.990698
715.26,2.03992,2.004086
717.71,2.054534,2.017694
720.16,2.069408,2.031527
722.61,2.08455,2.04559
725.06,2.099966,2.059888
727.51,2.115663,2.074428
729.96,2.131649,2.089215
732.42,2.147931,2.104254
734.87,2.164518,2.119551
737.32,2.181417,2.135114
739.77,2.198638,2.150948
742.22,2.216189,2.167059
744.67,2.234079,2.183456
747.12,2.252319,2.200144
749.57,2.270917,2.21713
752.03,2.289885,2.234424
754.48,2.309232,2.252031
756.93,2.328971,2.26996
759.38,2.349113,2.288219
761.83,2.369669,2.306817
764.28,2.390653,2.325763
766.73,2.412076,2.345065
769.18,2.433954,2.364732
771.64,2.4563,2.384775
774.09,2.479128,2.405203
776.54,2.502455,2.426026
778.99,2.526295,2.447256
781.44,2.550666,2.468903
783.89,2.575585,2.490978
786.34,2.60107,2.513493
788.79,2.62714,2.53646
791.25,2.653816,2.559891
793.7,2.681116,2.5838
796.15,2.709064,2.6082
798.6,2.737682,2.633104
801.05,2.766994,2.658527
803.5,2.797023,2.684484
805.95,2.827798,2.710989
808.4,2.859343,2.738059
810.86,2.891689,2.765709
813.31,2.924865,2.793956
815.76,2.958903,2.822818
818.21,2.993836,2.852313
820.66,3.029698,2.882459
823.11,3.066526,2.913275
825.56,3.104359,2.944781
828.01,3.143237,2.976997
830.47,3.183203,3.009945
832.92,3.224302,3.043645
835.37,3.266582,3.078121
837.82,3.310091,3.113396
840.27,3.354885,3.149492
842.72,3.401018,3.186435
845.17,3.44855,3.224249
847.62,3.497543,3.262962
850.08,3.548065,3.302598
852.53,3.600185,3.343185
854.98,3.653978,3.384752
857.43,3.709524,3.427326
859.88,3.766907,3.470938
862.33,3.826217,3.515616
864.78,3.887549,3.561391
867.23,3.951004,3.608294
869.68,4.016692,3.656356
872.14,4.084728,3.705609
874.59,4.155236,3.756085
877.04,4.228347,3.807815
879.49,4.304203,3.860831
881.94,4.382955,3.915165
884.39,4.464766,3.970848
886.84,4.549809,4.027911
889.29,4.638271,4.086383
891.75,4.730354,4.146293
894.2,4.826272,4.207668
896.65,4.92626,4.270532
899.1,5.030566,4.334907
901.55,5.139463,4.400814
904.0,5.253242,4.468267
906.45,5.372217,4.537279
908.9,5.496732,4.607854
911.36,5.627154,4.679995
913.81,5.763884,4.753693
916.26,5.907354,4.828935
918.71,6.058034,4.905696
921.16,6.216433,4.983942
923.61,6.383103,5.063626
926.06,6.558642,5.144689
928.51,6.743699,5.227055
930.97,6.938973,5.310633
