f_Hz,Z_cat_Ohm,Z_dog_Ohm,BP_cat,BP_dog
1078.69,0.95286,0.953085,0.010436,0.024113
1080.33,0.971934,0.972155,0.010231,0.02364
1081.96,0.990982,0.991198,0.010034,0.023186
1083.59,1.010003,1.010216,0.009845,0.02275
1085.23,1.028998,1.029207,0.009664,0.02233
1086.86,1.047967,1.048172,0.009489,0.021926
1088.5,1.06691,1.067111,0.00932,0.021537
1090.13,1.085827,1.086025,0.009158,0.021162
1091.76,1.104718,1.104912,0.009001,0.0208
1093.4,1.123583,1.123774,0.00885,0.020451
1095.03,1.142423,1.14261,0.008704,0.020114
1096.67,1.161237,1.161421,0.008563,0.019788
1098.3,1.180025,1.180207,0.008427,0.019473
1099.93,1.198788,1.198967,0.008295,0.019168
1101.57,1.217527,1.217703,0.008167,0.018873
1103.2,1.23624,1.236413,0.008044,0.018588
1104.83,1.254928,1.255099,0.007924,0.018311
1106.47,1.273591,1.273759,0.007808,0.018043
1108.1,1.292229,1.292395,0.007695,0.017783
1109.74,1.310843,1.311007,0.007586,0.01753
1111.37,1.329432,1.329594,0.00748,0.017285
1113.0,1.347997,1.348156,0.007377,0.017047
1114.64,1.366538,1.366695,0.007277,0.016816
1116.27,1.385054,1.385209,0.007179,0.016591
1117.91,1.403546,1.403699,0.007085,0.016373
1119.54,1.422014,1.422165,0.006993,0.01616
1121.17,1.440459,1.440608,0.006903,0.015953
1122.81,1.458879,1.459026,0.006816,0.015752
1124.44,1.477276,1.477421,0.006731,0.015556
1126.08,1.495649,1.495793,0.006649,0.015365
1127.71,1.513999,1.514141,0.006568,0.015178
1129.34,1.532325,1.532466,0.006489,0.014997
1130.98,1.550629,1.550767,0.006413,0.01482
1132.61,1.568909,1.569045,0.006338,0.014647
1134.24,1.587165,1.587301,0.006265,0.014479
1135.88,1.605399,1.605533,0.006194,0.014314
1137.51,1.62361,1.623742,0.006125,0.014154
1139.15,1.641798,1.641929,0.006057,0.013997
1140.78,1.659964,1.660093,0.00599,0.013844
1142.41,1.678107,1.678235,0.005926,0.013694
1144.05,1.696227,1.696354,0.005862,0.013548
1145.68,1.714325,1.71445,0.0058,0.013405
1147.32,1.732401,1.732525,0.00574,0.013265
1148.95,1.750454,1.750577,0.005681,0.013128
1150.58,1.768486,1.768607,0.005623,0.012994
1152.22,1.786495,1.786615,0.005566,0.012864
1153.85,1.804483,1.804602,0.005511,0.012735
1155.49,1.822448,1.822566,0.005456,0.01261
