t_s,x_true_90.0Hz,x_apparent_10.0Hz
0.051276,-0.660404,-0.080065
0.051526,-0.759665,-0.09572
0.051776,-0.843755,-0.111351
0.052026,-0.910992,-0.126955
0.052276,-0.960035,-0.142527
0.052526,-0.989903,-0.158064
0.052776,-1.0,-0.173562
0.053027,-0.990124,-0.189017
0.053277,-0.960473,-0.204426
0.053527,-0.911639,-0.219784
0.053777,-0.844597,-0.235088
0.054027,-0.760687,-0.250334
0.054277,-0.661583,-0.265517
0.054527,-0.549266,-0.280636
0.054777,-0.425978,-0.295685
0.055028,-0.294183,-0.310661
0.055278,-0.156512,-0.32556
0.055528,-0.015715,-0.340379
0.055778,0.125396,-0.355113
0.056028,0.264002,-0.369761
0.056278,0.397335,-0.384316
0.056528,0.522733,-0.398777
0.056778,0.63769,-0.413139
0.057029,0.739911,-0.4274
0.057279,0.827354,-0.441554
0.057529,0.898273,-0.4556
0.057779,0.951251,-0.469533
0.058029,0.985229,-0.48335
0.058279,0.99953,-0.497048
0.058529,0.993868,-0.510623
0.058779,0.968356,-0.524072
0.05903,0.923503,-0.537392
0.05928,0.860206,-0.550578
0.05953,0.779727,-0.563629
0.05978,0.683676,-0.576541
0.06003,0.57397,-0.58931
0.06028,0.4528,-0.601934
0.06053,0.322586,-0.614409
0.06078,0.18593,-0.626732
0.061031,0.04556,-0.6389
0.061281,-0.09572,-0.650911
0.061531,-0.235088,-0.662761
0.061781,-0.369761,-0.674447
0.062031,-0.497048,-0.685966
0.062281,-0.614409,-0.697317
0.062531,-0.719497,-0.708495
0.062781,-0.810216,-0.719497
0.063032,-0.884753,-0.730323
0.063282,-0.941618,-0.740968
0.063532,-0.979678,-0.751429
0.063782,-0.99817,-0.761706
0.064032,-0.996726,-0.771794
0.064282,-0.975376,-0.781691
0.064532,-0.934544,-0.791396
0.064782,-0.875047,-0.800905
0.065033,-0.798073,-0.810216
0.065283,-0.705159,-0.819327
0.065533,-0.598162,-0.828236
0.065783,-0.479218,-0.83694
0.066033,-0.350702,-0.845438
0.066283,-0.215182,-0.853726
0.066533,-0.075364,-0.861804
0.066783,0.065959,-0.869669
0.067034,0.205964,-0.877319
0.067284,0.341856,-0.884753
0.067534,0.47092,-0.891968
0.067784,0.590579,-0.898962
0.068034,0.698442,-0.905735
0.068284,0.792356,-0.912284
0.068534,0.870444,-0.918608
0.068784,0.931147,-0.924704
0.069035,0.973253,-0.930573
0.069285,0.99592,-0.936211
0.069535,0.998696,-0.941618
0.069785,0.981525,-0.946793
0.070035,0.944751,-0.951734
0.070285,0.889108,-0.95644
0.070535,0.815707,-0.96091
0.070785,0.726014,-0.965142
0.071036,0.621821,-0.969136
0.071286,0.505208,-0.97289
0.071536,0.378505,-0.976405
0.071786,0.244242,-0.979678
0.072036,0.105102,-0.982709
0.072286,-0.036139,-0.985497
0.072536,-0.176657,-0.988042
0.072786,-0.313647,-0.990343
0.073037,-0.444372,-0.9924
0.073287,-0.566223,-0.994211
0.073537,-0.676764,-0.995777
0.073787,-0.773789,-0.997097
0.074037,-0.855359,-0.99817
0.074287,-0.919845,-0.998997
0.074537,-0.96596,-0.999577
0.074787,-0.992782,-0.999911
0.075038,-0.999775,-0.999997
0.075288,-0.9868,-0.999837
0.075538,-0.954116,-0.999429
0.075788,-0.902377,-0.998775
0.076038,-0.832614,-0.997874
0.076288,-0.746222,-0.996726
0.076538,-0.644925,-0.995333
0.076788,-0.530748,-0.993693
0.077039,-0.405971,-0.991808
0.077289,-0.273085,-0.989679
0.077539,-0.134745,-0.987304
0.077789,0.006286,-0.984686
0.078039,0.147192,-0.981825
0.078289,0.285158,-0.978721
0.078539,0.417428,-0.975376
0.078789,0.541362,-0.971789
0.07904,0.654483,-0.967963
0.07929,0.754532,-0.963897
0.07954,0.839511,-0.959594
0.07979,0.907723,-0.955053
0.08004,0.957806,-0.950276
0.08029,0.988758,-0.945265
0.08054,0.999963,-0.940021
0.08079,0.991195,-0.934544
0.081041,0.962631,-0.928836
0.081291,0.914841,-0.922899
0.081541,0.848778,-0.916734
0.081791,0.765764,-0.910343
0.082041,0.667455,-0.903727
0.082291,0.555815,-0.896887
0.082541,0.433074,-0.889826
0.082791,0.301684,-0.882546
0.083042,0.164268,-0.875047
0.083292,0.023572,-0.867332
0.083542,-0.117596,-0.859403
0.083792,-0.256415,-0.851262
0.084042,-0.390112,-0.84291
0.084292,-0.516018,-0.834351
0.084542,-0.631618,-0.825585
0.084792,-0.734602,-0.816615
0.085043,-0.822915,-0.807444
0.085293,-0.894792,-0.798073
0.085543,-0.948798,-0.788505
0.085793,-0.983853,-0.778742
0.086043,-0.999259,-0.768787
0.086293,-0.994706,-0.758643
0.086543,-0.970287,-0.74831
0.086793,-0.926489,-0.737793
0.087044,-0.864186,-0.727094
0.087294,-0.784623,-0.716215
0.087544,-0.689389,-0.705159
0.087794,-0.580387,-0.693929
0.088044,-0.459792,-0.682528
0.088294,-0.330014,-0.670958
0.088544,-0.193645,-0.659223
0.088794,-0.053408,-0.647324
0.089045,0.087895,-0.635266
0.089295,0.227443,-0.623051
0.089545,0.362448,-0.610682
0.089795,0.490214,-0.598162
0.090045,0.60819,-0.585494
0.090295,0.714018,-0.572682
0.090545,0.805585,-0.559728
0.090795,0.881063,-0.546637
0.091046,0.938944,-0.53341
0.091296,0.978071,-0.520051
0.091546,0.997664,-0.506564
0.091796,0.997331,-0.492952
0.092046,0.977078,-0.479218
0.092296,0.937311,-0.465365
0.092546,0.878823,-0.451398
0.092796,0.802783,-0.437319
0.093047,0.710709,-0.423133
0.093297,0.604441,-0.408841
0.093547,0.4861,-0.394449
0.093797,0.35805,-0.379959
0.094047,0.222849,-0.365376
0.094297,0.083198,-0.350702
0.094547,-0.058116,-0.335942
0.094797,-0.198268,-0.321098
0.095048,-0.334461,-0.306176
0.095298,-0.463974,-0.291177
0.095548,-0.58422,-0.276107
0.095798,-0.692797,-0.260969
0.096048,-0.787537,-0.245766
0.096298,-0.866549,-0.230503
0.096548,-0.928253,-0.215182
0.096798,-0.971417,-0.199809
0.097049,-0.99518,-0.184386
0.097299,-0.999066,-0.168917
0.097549,-0.982999,-0.153407
0.097799,-0.947298,-0.137859
0.098049,-0.892677,-0.122277
0.098299,-0.820227,-0.106664
0.098549,-0.731395,-0.091026
0.098799,-0.627956,-0.075364
0.09905,-0.511974,-0.059685
0.0993,-0.385767,-0.04399
0.09955,-0.251855,-0.028285
0.0998,-0.112913,-0.012572
0.10005,0.028285,0.003143
0.1003,0.168917,0.018858
0.10055,0.306176,0.034568
0.1008,0.437319,0.050269
0.101051,0.559728,0.065959
0.101301,0.670958,0.081631
0.101551,0.768787,0.097284
0.101801,0.851262,0.112913
0.102051,0.916734,0.128513
0.102301,0.963897,0.144082
0.102551,0.991808,0.159616
0.102801,0.999911,0.17511
0.103052,0.988042,0.19056
0.103302,0.95644,0.205964
0.103552,0.905735,0.221317
0.103802,0.83694,0.236615
0.104052,0.751429,0.251855
0.104302,0.650911,0.267032
0.104552,0.537392,0.282144
0.104802,0.413139,0.297186
0.105053,0.280636,0.312154
0.105303,0.142527,0.327045
0.105553,0.001572,0.341856
0.105803,-0.139415,0.356582
0.106053,-0.277617,0.37122
0.106303,-0.410275,0.385767
0.106553,-0.534738,0.400218
0.106803,-0.648521,0.41457
0.107054,-0.749352,0.42882
0.107304,-0.835216,0.442964
0.107554,-0.904398,0.456999
0.107804,-0.955518,0.47092
0.108054,-0.987553,0.484726
0.108304,-0.999864,0.498411
0.108554,-0.992205,0.511974
0.108804,-0.964729,0.52541
0.109055,-0.917985,0.538716
0.109305,-0.852907,0.55189
0.109555,-0.770794,0.564927
0.109805,-0.673286,0.577824
0.110055,-0.56233,0.590579
0.110305,-0.440144,0.603188
0.110555,-0.309166,0.615648
0.110805,-0.172014,0.627956
0.111056,-0.031426,0.640108
0.111306,0.109789,0.652103
0.111556,0.248812,0.663937
0.111806,0.382865,0.675606
0.112056,0.509271,0.687109
0.112306,0.625506,0.698442
0.112556,0.729248,0.709603
0.112806,0.818425,0.720588
0.113057,0.891256,0.731395
0.113307,0.946286,0.742022
0.113557,0.982417,0.752466
0.113807,0.998925,0.762723
0.114057,0.995483,0.772792
0.114307,0.972159,0.782671
0.114557,0.929417,0.792356
0.114807,0.868113,0.801845
0.115058,0.789471,0.811136
0.115308,0.69506,0.820227
0.115558,0.586768,0.829116
0.115808,0.466756,0.837799
0.116058,0.337422,0.846276
0.116308,0.201348,0.854544
0.116558,0.061253,0.8626
0.116808,-0.080065,0.870444
0.117059,-0.219784,0.878072
0.117309,-0.355113,0.885484
0.117559,-0.48335,0.892677
0.117809,-0.601934,0.89965
0.118059,-0.708495,0.9064
0.118309,-0.800905,0.912926
0.118559,-0.877319,0.919227
0.118809,-0.936211,0.925301
0.11906,-0.976405,0.931147
0.11931,-0.997097,0.936762
0.11956,-0.997874,0.942146
0.11981,-0.978721,0.947298
0.12006,-0.940021,0.952215
0.12031,-0.882546,0.956898
0.12056,-0.807444,0.961343
0.12081,-0.716215,0.965552
0.121061,-0.610682,0.969522
0.121311,-0.492952,0.973253
0.121561,-0.365376,0.976743
0.121811,-0.230503,0.979992
0.122061,-0.091026,0.982999
0.122311,0.050269,0.985763
0.122561,0.19056,0.988283
0.122811,0.327045,0.99056
0.123062,0.456999,0.992592
0.123312,0.577824,0.994379
0.123562,0.687109,0.99592
0.123812,0.782671,0.997215
0.124062,0.8626,0.998264
0.124312,0.925301,0.999066
0.124562,0.969522,0.999622
0.124812,0.994379,0.999931
0.125063,0.999375,0.999992
0.125313,0.984411,0.999807
0.125563,0.949786,0.999375
0.125813,0.896191,0.998696
0.126063,0.824697,0.99777
0.126313,0.736731,0.996598
0.126563,0.634052,0.99518
0.126813,0.518708,0.993516
0.127064,0.393004,0.991606
0.127314,0.259452,0.989452
0.127564,0.120717,0.987053
0.127814,-0.020429,0.984411
0.128064,-0.161167,0.981525
0.128314,-0.298686,0.978397
0.128564,-0.430239,0.975028
0.128814,-0.5532,0.971417
0.129065,-0.665111,0.967567
0.129315,-0.763739,0.963477
0.129565,-0.847112,0.95915
0.129815,-0.913567,0.954586
0.130065,-0.961775,0.949786
0.130315,-0.990774,0.944751
0.130565,-0.999985,0.939483
0.130815,-0.989223,0.933983
0.131066,-0.958704,0.928253
0.131316,-0.909038,0.922293
0.131566,-0.841215,0.916105
0.131816,-0.756591,0.909691
0.132066,-0.656856,0.903053
0.132316,-0.544002,0.896191
0.132566,-0.420283,0.889108
0.132816,-0.288169,0.881805
0.133067,-0.1503,0.874285
0.133317,-0.009429,0.866549
0.133567,0.13163,0.858598
0.133817,0.27006,0.850436
0.134067,0.403096,0.842064
0.134317,0.528082,0.833483
0.134567,0.64252,0.824697
0.134817,0.744126,0.815707
0.135068,0.830869,0.806516
0.135318,0.901018,0.797125
0.135568,0.953171,0.787537
0.135818,0.986286,0.777755
0.136068,0.999703,0.767781
0.136318,0.993154,0.757618
0.136568,0.966768,0.747267
0.136818,0.921074,0.736731
0.137069,0.856983,0.726014
0.137319,0.775776,0.715117
0.137569,0.679075,0.704044
0.137819,0.568811,0.692797
0.138069,0.447186,0.681379
0.138319,0.31663,0.669792
0.138569,0.17975,0.65804
0.138819,0.039279,0.646126
0.13907,-0.101975,0.634052
0.13932,-0.241193,0.621821
0.13957,-0.375594,0.609437
0.13982,-0.502493,0.596902
0.14007,-0.619356,0.58422
0.14032,-0.723849,0.571393
0.14057,-0.813885,0.558425
0.14082,-0.887665,0.54532
0.141071,-0.943716,0.53208
0.141321,-0.980919,0.518708
0.141571,-0.99853,0.505208
0.141821,-0.996199,0.491584
0.142071,-0.97397,0.477838
0.142321,-0.932288,0.463974
0.142571,-0.871987,0.449995
0.142821,-0.794269,0.435905
0.143072,-0.700688,0.421708
0.143322,-0.593112,0.407407
0.143572,-0.473691,0.393004
0.143822,-0.344808,0.378505
0.144072,-0.209039,0.363912
0.144322,-0.069095,0.34923
0.144572,0.07223,0.334461
0.144822,0.212112,0.31961
0.145073,0.347757,0.304679
0.145323,0.476457,0.289674
0.145573,0.59564,0.274596
0.145823,0.702927,0.259452
0.146073,0.796175,0.244242
0.146323,0.873521,0.228973
0.146573,0.933421,0.213647
0.146823,0.974678,0.198268
0.147074,0.996467,0.182841
0.147324,0.998355,0.167368
0.147574,0.980303,0.151854
0.147824,0.942672,0.136302
0.148074,0.886213,0.120717
0.148324,0.812054,0.105102
0.148574,0.721677,0.08946
0.148824,0.616885,0.073797
0.149075,0.499773,0.058116
0.149325,0.372679,0.04242
0.149575,0.238142,0.026714
0.149825,0.098848,0.011001
0.150075,-0.04242,-0.004715
0.150325,-0.182841,-0.020429
0.150575,-0.31961,-0.036139
0.150825,-0.449995,-0.051839
0.151076,-0.571393,-0.067527
0.151326,-0.681379,-0.083198
0.151576,-0.777755,-0.098848
0.151826,-0.858598,-0.114474
0.152076,-0.922293,-0.130072
0.152326,-0.967567,-0.145637
0.152576,-0.993516,-0.161167
0.152826,-0.999622,-0.176657
0.153077,-0.985763,-0.192103
0.153327,-0.952215,-0.207502
0.153577,-0.89965,-0.222849
0.153827,-0.829116,-0.238142
0.154077,-0.742022,-0.253375
0.154327,-0.640108,-0.268546
0.154577,-0.52541,-0.283651
0.154827,-0.400218,-0.298686
0.155078,-0.267032,-0.313647
0.155328,-0.128513,-0.32853
0.155578,0.012572,-0.343333
0.155828,0.153407,-0.35805
0.156078,0.291177,-0.372679
0.156328,0.423133,-0.387216
0.156578,0.546637,-0.401658
0.156828,0.659223,-0.416
0.157079,0.758643,-0.430239
0.157329,0.84291,-0.444372
0.157579,0.910343,-0.458396
0.157829,0.959594,-0.472306
0.158079,0.989679,-0.4861
0.158329,0.999997,-0.499773
0.158579,0.990343,-0.513323
0.158829,0.96091,-0.526747
0.15908,0.912284,-0.54004
0.15933,0.845438,-0.5532
0.15958,0.761706,-0.566223
0.15983,0.662761,-0.579106
0.16008,0.550578,-0.591846
0.16033,0.4274,-0.604441
0.16058,0.295685,-0.616885
0.16083,0.158064,-0.629178
0.161081,0.017287,-0.641315
0.161331,-0.123836,-0.653294
0.161581,-0.262486,-0.665111
0.161831,-0.395893,-0.676764
0.162081,-0.521393,-0.68825
0.162331,-0.636479,-0.699566
0.162581,-0.738853,-0.710709
0.162831,-0.826471,-0.721677
0.163082,-0.897581,-0.732466
0.163332,-0.950765,-0.743075
0.163582,-0.984959,-0.7535
0.163832,-0.999481,-0.763739
0.164082,-0.994041,-0.773789
0.164332,-0.968747,-0.783648
0.164582,-0.924105,-0.793313
0.164832,-0.861006,-0.802783
0.165083,-0.78071,-0.812054
0.165333,-0.684822,-0.821125
0.165583,-0.575256,-0.829993
0.165833,-0.454201,-0.838656
0.166083,-0.324074,-0.847112
0.166333,-0.187474,-0.855359
0.166583,-0.04713,-0.863394
0.166833,0.094155,-0.871216
0.167084,0.23356,-0.878823
0.167334,0.3683,-0.886213
0.167584,0.495684,-0.893384
0.167834,0.613168,-0.900335
0.168084,0.718405,-0.907063
0.168334,0.809294,-0.913567
0.168584,0.884019,-0.919845
0.168834,0.941088,-0.925896
0.169085,0.979361,-0.931719
0.169335,0.998074,-0.937311
0.169585,0.996852,-0.942672
0.169835,0.975721,-0.9478
0.170085,0.935102,-0.952694
0.170335,0.875807,-0.957353
0.170585,0.799019,-0.961775
0.170835,0.706273,-0.96596
0.171086,0.599421,-0.969906
0.171336,0.480596,-0.973612
0.171586,0.352173,-0.977078
0.171836,0.216717,-0.980303
0.172086,0.076931,-0.983286
0.172336,-0.06439,-0.986026
0.172586,-0.204426,-0.988522
0.172836,-0.340379,-0.990774
0.173087,-0.469533,-0.992782
0.173337,-0.58931,-0.994544
0.173587,-0.697317,-0.99606
0.173837,-0.791396,-0.997331
0.174087,-0.869669,-0.998355
0.174337,-0.930573,-0.999133
0.174587,-0.97289,-0.999664
0.174837,-0.995777,-0.999948
0.175088,-0.998775,-0.999985
0.175338,-0.981825,-0.999775
0.175588,-0.945265,-0.999318
0.175838,-0.889826,-0.998614
0.176088,-0.816615,-0.997664
0.176338,-0.727094,-0.996467
0.176588,-0.623051,-0.995025
0.176838,-0.506564,-0.993336
0.177089,-0.379959,-0.991402
0.177339,-0.245766,-0.989223
0.177589,-0.106664,-0.9868
0.177839,0.034568,-0.984133
0.178089,0.17511,-0.981224
0.178339,0.312154,-0.978071
0.178589,0.442964,-0.974678
0.178839,0.564927,-0.971043
0.17909,0.675606,-0.967169
0.17934,0.772792,-0.963055
0.17959,0.854544,-0.958704
0.17984,0.919227,-0.954116
0.18009,0.965552,-0.949293
0.18034,0.992592,-0.944235
0.18059,0.999807,-0.938944
0.18084,0.987053,-0.933421
0.181091,0.954586,-0.927667
0.181341,0.903053,-0.921684
0.181591,0.833483,-0.915474
0.181841,0.747267,-0.909038
0.182091,0.646126,-0.902377
0.182341,0.53208,-0.895493
0.182591,0.407407,-0.888388
0.182841,0.274596,-0.881063
0.183092,0.136302,-0.873521
0.183342,-0.004715,-0.865763
0.183592,-0.145637,-0.857792
0.183842,-0.283651,-0.849608
0.184092,-0.416,-0.841215
0.184342,-0.54004,-0.832614
0.184592,-0.653294,-0.823807
0.184842,-0.7535,-0.814797
0.185093,-0.838656,-0.805585
0.185343,-0.907063,-0.796175
0.185593,-0.957353,-0.786568
0.185843,-0.988522,-0.776767
0.186093,-0.999948,-0.766774
0.186343,-0.991402,-0.756591
0.186593,-0.963055,-0.746222
0.186843,-0.915474,-0.735668
0.187094,-0.849608,-0.724932
0.187344,-0.766774,-0.714018
0.187594,-0.668624,-0.702927
0.187844,-0.557121,-0.691663
0.188094,-0.43449,-0.680228
0.188344,-0.303182,-0.668624
0.188594,-0.165818,-0.656856
0.188844,-0.025143,-0.644925
0.189095,0.116035,-0.632835
0.189345,0.254895,-0.620589
0.189595,0.388665,-0.60819
0.189845,0.514671,-0.59564
0.190095,0.630399,-0.582943
0.190345,0.733535,-0.570103
0.190595,0.822021,-0.557121
0.190845,0.894089,-0.544002
0.191096,0.9483,-0.530748
0.191346,0.983571,-0.517364
0.191596,0.999197,-0.503851
0.191846,0.994867,-0.490214
0.192096,0.970666,-0.476457
0.192346,0.927079,-0.462581
0.192596,0.864976,-0.448591
0.192846,0.785597,-0.43449
0.193097,0.690527,-0.420283
0.193347,0.581666,-0.405971
0.193597,0.461187,-0.391559
0.193847,0.331497,-0.37705
0.194097,0.195187,-0.362448
0.194347,0.054978,-0.347757
0.194597,-0.086329,-0.33298
0.194847,-0.225912,-0.31812
0.195098,-0.360983,-0.303182
0.195348,-0.488844,-0.288169
0.195598,-0.606942,-0.273085
0.195848,-0.712917,-0.257933
0.196098,-0.804653,-0.242718
0.196348,-0.880319,-0.227443
0.196598,-0.938402,-0.212112
0.196848,-0.977743,-0.196728
0.197099,-0.997556,-0.181295
0.197349,-0.997444,-0.165818
0.197599,-0.977412,-0.1503
