K_eff_MPa,eta_Rek_V0.5L,eta_Rek_V1.0L,eta_Rek_V2.0L,eta_Rek_V5.0L
1249.16,0.9992,0.9996,0.9998,0.9999
1255.85,0.9992,0.9996,0.9998,0.9999
1262.54,0.9992,0.9996,0.9998,0.9999
1269.23,0.9992,0.9996,0.9998,0.9999
1275.92,0.9992,0.9996,0.9998,0.9999
1282.61,0.9992,0.9996,0.9998,0.9999
1289.30,0.9992,0.9996,0.9998,0.9999
1295.99,0.9992,0.9996,0.9998,0.9999
1302.68,0.9992,0.9996,0.9998,0.9999
1309.36,0.9992,0.9996,0.9998,0.9999
1316.05,0.9992,0.9996,0.9998,0.9999
1322.74,0.9992,0.9996,0.9998,0.9999
1329.43,0.9992,0.9996,0.9998,0.9999
1336.12,0.9993,0.9996,0.9998,0.9999
1342.81,0.9993,0.9996,0.9998,0.9999
1349.50,0.9993,0.9996,0.9998,0.9999
1356.19,0.9993,0.9996,0.9998,0.9999
1362.88,0.9993,0.9996,0.9998,0.9999
1369.57,0.9993,0.9996,0.9998,0.9999
1376.25,0.9993,0.9996,0.9998,0.9999
1382.94,0.9993,0.9996,0.9998,0.9999
1389.63,0.9993,0.9996,0.9998,0.9999
1396.32,0.9993,0.9996,0.9998,0.9999
1403.01,0.9993,0.9996,0.9998,0.9999
1409.70,0.9993,0.9996,0.9998,0.9999
1416.39,0.9993,0.9996,0.9998,0.9999
1423.08,0.9993,0.9996,0.9998,0.9999
1429.77,0.9993,0.9997,0.9998,0.9999
1436.45,0.9993,0.9997,0.9998,0.9999
1443.14,0.9993,0.9997,0.9998,0.9999
1449.83,0.9993,0.9997,0.9998,0.9999
1456.52,0.9993,0.9997,0.9998,0.9999
1463.21,0.9993,0.9997,0.9998,0.9999
1469.90,0.9993,0.9997,0.9998,0.9999
1476.59,0.9993,0.9997,0.9998,0.9999
1483.28,0.9993,0.9997,0.9998,0.9999
1489.97,0.9993,0.9997,0.9998,0.9999
1496.66,0.9993,0.9997,0.9998,0.9999
1503.34,0.9993,0.9997,0.9998,0.9999
1510.03,0.9993,0.9997,0.9998,0.9999
1516.72,0.9993,0.9997,0.9998,0.9999
1523.41,0.9993,0.9997,0.9998,0.9999
1530.10,0.9993,0.9997,0.9998,0.9999
1536.79,0.9993,0.9997,0.9998,0.9999
1543.48,0.9994,0.9997,0.9998,0.9999
1550.17,0.9994,0.9997,0.9998,0.9999
1556.86,0.9994,0.9997,0.9998,0.9999
1563.55,0.9994,0.9997,0.9998,0.9999
1570.23,0.9994,0.9997,0.9998,0.9999
1576.92,0.9994,0.9997,0.9998,0.9999
1583.61,0.9994,0.9997,0.9998,0.9999
1590.30,0.9994,0.9997,0.9998,0.9999
1596.99,0.9994,0.9997,0.9998,0.9999
1603.68,0.9994,0.9997,0.9998,0.9999
1610.37,0.9994,0.9997,0.9998,0.9999
1617.06,0.9994,0.9997,0.9998,0.9999
1623.75,0.9994,0.9997,0.9998,0.9999
1630.43,0.9994,0.9997,0.9998,0.9999
1637.12,0.9994,0.9997,0.9998,0.9999
1643.81,0.9994,0.9997,0.9998,0.9999
1650.50,0.9994,0.9997,0.9998,0.9999
1657.19,0.9994,0.9997,0.9998,0.9999
1663.88,0.9994,0.9997,0.9998,0.9999
1670.57,0.9994,0.9997,0.9999,0.9999
1677.26,0.9994,0.9997,0.9999,0.9999
