P_bar,eta_Mineralöl VG 10   (α_P = 1.5e-8 /Pa)_Pas,eta_Mineralöl VG 46   (α_P = 2.0e-8 /Pa)_Pas,eta_Mineralöl VG 100  (α_P = 2.5e-8 /Pa)_Pas,eta_Phosphatester HEP (α_P = 1.0e-8 /Pa)_Pas,eta_PAO / SHC         (α_P = 1.8e-8 /Pa)_Pas,f_R_Mineralöl VG 10   (α_P = 1.5e-8 /Pa)_Hz,f_R_Mineralöl VG 46   (α_P = 2.0e-8 /Pa)_Hz,f_R_Mineralöl VG 100  (α_P = 2.5e-8 /Pa)_Hz,f_R_Phosphatester HEP (α_P = 1.0e-8 /Pa)_Hz,f_R_PAO / SHC         (α_P = 1.8e-8 /Pa)_Hz
323.1,0.074683,3.642e+09,0.087777,3.098e+09,0.103165,2.636e+09,0.063543,4.280e+09,0.082284,3.305e+09
325.1,0.074908,3.631e+09,0.088130,3.086e+09,0.103684,2.623e+09,0.063671,4.272e+09,0.082582,3.293e+09
327.1,0.075134,3.620e+09,0.088484,3.074e+09,0.104206,2.610e+09,0.063799,4.263e+09,0.082881,3.282e+09
329.1,0.075361,3.609e+09,0.088840,3.061e+09,0.104730,2.597e+09,0.063927,4.254e+09,0.083181,3.270e+09
331.1,0.075588,3.598e+09,0.089197,3.049e+09,0.105257,2.584e+09,0.064055,4.246e+09,0.083482,3.258e+09
333.1,0.075816,3.587e+09,0.089556,3.037e+09,0.105786,2.571e+09,0.064184,4.237e+09,0.083784,3.246e+09
335.1,0.076044,3.577e+09,0.089916,3.025e+09,0.106318,2.558e+09,0.064313,4.229e+09,0.084087,3.234e+09
337.1,0.076274,3.566e+09,0.090278,3.013e+09,0.106853,2.545e+09,0.064442,4.220e+09,0.084391,3.223e+09
339.1,0.076504,3.555e+09,0.090641,3.001e+09,0.107390,2.533e+09,0.064571,4.212e+09,0.084697,3.211e+09
341.1,0.076734,3.544e+09,0.091005,2.989e+09,0.107930,2.520e+09,0.064701,4.204e+09,0.085003,3.200e+09
343.1,0.076965,3.534e+09,0.091371,2.977e+09,0.108473,2.507e+09,0.064831,4.195e+09,0.085311,3.188e+09
345.2,0.077198,3.523e+09,0.091739,2.965e+09,0.109019,2.495e+09,0.064961,4.187e+09,0.085619,3.177e+09
347.2,0.077430,3.513e+09,0.092107,2.953e+09,0.109567,2.482e+09,0.065092,4.178e+09,0.085929,3.165e+09
349.2,0.077664,3.502e+09,0.092478,2.941e+09,0.110118,2.470e+09,0.065223,4.170e+09,0.086240,3.154e+09
351.2,0.077898,3.491e+09,0.092850,2.929e+09,0.110672,2.457e+09,0.065354,4.162e+09,0.086552,3.142e+09
353.2,0.078133,3.481e+09,0.093223,2.917e+09,0.111228,2.445e+09,0.065485,4.153e+09,0.086865,3.131e+09
355.2,0.078368,3.470e+09,0.093598,2.906e+09,0.111788,2.433e+09,0.065616,4.145e+09,0.087180,3.120e+09
357.2,0.078604,3.460e+09,0.093974,2.894e+09,0.112350,2.421e+09,0.065748,4.137e+09,0.087495,3.108e+09
359.2,0.078841,3.450e+09,0.094352,2.883e+09,0.112915,2.409e+09,0.065880,4.128e+09,0.087812,3.097e+09
361.2,0.079079,3.439e+09,0.094732,2.871e+09,0.113483,2.397e+09,0.066013,4.120e+09,0.088130,3.086e+09
363.2,0.079317,3.429e+09,0.095113,2.859e+09,0.114054,2.385e+09,0.066145,4.112e+09,0.088449,3.075e+09
365.2,0.079557,3.419e+09,0.095495,2.848e+09,0.114627,2.373e+09,0.066278,4.104e+09,0.088769,3.064e+09
367.2,0.079796,3.408e+09,0.095879,2.837e+09,0.115204,2.361e+09,0.066411,4.095e+09,0.089090,3.053e+09
369.2,0.080037,3.398e+09,0.096265,2.825e+09,0.115783,2.349e+09,0.066545,4.087e+09,0.089412,3.042e+09
371.2,0.080278,3.388e+09,0.096652,2.814e+09,0.116365,2.337e+09,0.066678,4.079e+09,0.089736,3.031e+09
373.2,0.080520,3.378e+09,0.097041,2.803e+09,0.116951,2.326e+09,0.066812,4.071e+09,0.090060,3.020e+09
375.3,0.080763,3.368e+09,0.097431,2.791e+09,0.117539,2.314e+09,0.066946,4.063e+09,0.090386,3.009e+09
