P_bar,eta_Mineralöl VG 10   (α_P = 1.5e-8 /Pa)_Pas,eta_Mineralöl VG 46   (α_P = 2.0e-8 /Pa)_Pas,eta_Mineralöl VG 100  (α_P = 2.5e-8 /Pa)_Pas,eta_Phosphatester HEP (α_P = 1.0e-8 /Pa)_Pas,eta_PAO / SHC         (α_P = 1.8e-8 /Pa)_Pas,f_R_Mineralöl VG 10   (α_P = 1.5e-8 /Pa)_Hz,f_R_Mineralöl VG 46   (α_P = 2.0e-8 /Pa)_Hz,f_R_Mineralöl VG 100  (α_P = 2.5e-8 /Pa)_Hz,f_R_Phosphatester HEP (α_P = 1.0e-8 /Pa)_Hz,f_R_PAO / SHC         (α_P = 1.8e-8 /Pa)_Hz
0.0,0.046000,5.912e+09,0.046000,5.912e+09,0.046000,5.912e+09,0.046000,5.912e+09,0.046000,5.912e+09
2.0,0.046139,5.895e+09,0.046185,5.889e+09,0.046231,5.883e+09,0.046092,5.901e+09,0.046166,5.891e+09
4.0,0.046278,5.877e+09,0.046371,5.865e+09,0.046464,5.853e+09,0.046185,5.889e+09,0.046334,5.870e+09
6.0,0.046417,5.859e+09,0.046557,5.842e+09,0.046698,5.824e+09,0.046278,5.877e+09,0.046501,5.849e+09
8.0,0.046557,5.842e+09,0.046744,5.818e+09,0.046932,5.795e+09,0.046371,5.865e+09,0.046669,5.828e+09
10.0,0.046698,5.824e+09,0.046932,5.795e+09,0.047168,5.766e+09,0.046464,5.853e+09,0.046838,5.807e+09
12.0,0.046838,5.807e+09,0.047121,5.772e+09,0.047406,5.737e+09,0.046557,5.842e+09,0.047008,5.786e+09
14.0,0.046980,5.789e+09,0.047311,5.749e+09,0.047644,5.708e+09,0.046651,5.830e+09,0.047178,5.765e+09
16.1,0.047121,5.772e+09,0.047501,5.726e+09,0.047884,5.680e+09,0.046744,5.818e+09,0.047349,5.744e+09
18.1,0.047263,5.754e+09,0.047692,5.703e+09,0.048125,5.651e+09,0.046838,5.807e+09,0.047520,5.723e+09
20.1,0.047406,5.737e+09,0.047884,5.680e+09,0.048367,5.623e+09,0.046932,5.795e+09,0.047692,5.703e+09
22.1,0.047549,5.720e+09,0.048076,5.657e+09,0.048610,5.595e+09,0.047027,5.783e+09,0.047864,5.682e+09
24.1,0.047692,5.703e+09,0.048270,5.634e+09,0.048854,5.567e+09,0.047121,5.772e+09,0.048038,5.662e+09
26.1,0.047836,5.686e+09,0.048464,5.612e+09,0.049100,5.539e+09,0.047216,5.760e+09,0.048212,5.641e+09
28.1,0.047980,5.668e+09,0.048659,5.589e+09,0.049347,5.511e+09,0.047311,5.749e+09,0.048386,5.621e+09
30.1,0.048125,5.651e+09,0.048854,5.567e+09,0.049595,5.484e+09,0.047406,5.737e+09,0.048561,5.601e+09
32.1,0.048270,5.634e+09,0.049051,5.545e+09,0.049845,5.456e+09,0.047501,5.726e+09,0.048737,5.580e+09
34.1,0.048415,5.618e+09,0.049248,5.523e+09,0.050095,5.429e+09,0.047596,5.714e+09,0.048913,5.560e+09
36.1,0.048561,5.601e+09,0.049446,5.500e+09,0.050347,5.402e+09,0.047692,5.703e+09,0.049090,5.540e+09
38.1,0.048707,5.584e+09,0.049645,5.478e+09,0.050600,5.375e+09,0.047788,5.691e+09,0.049268,5.520e+09
40.1,0.048854,5.567e+09,0.049845,5.456e+09,0.050855,5.348e+09,0.047884,5.680e+09,0.049446,5.500e+09
42.1,0.049002,5.550e+09,0.050045,5.435e+09,0.051111,5.321e+09,0.047980,5.668e+09,0.049625,5.481e+09
44.1,0.049149,5.534e+09,0.050246,5.413e+09,0.051368,5.295e+09,0.048076,5.657e+09,0.049805,5.461e+09
46.2,0.049297,5.517e+09,0.050448,5.391e+09,0.051626,5.268e+09,0.048173,5.646e+09,0.049985,5.441e+09
48.2,0.049446,5.500e+09,0.050651,5.370e+09,0.051886,5.242e+09,0.048270,5.634e+09,0.050166,5.422e+09
50.2,0.049595,5.484e+09,0.050855,5.348e+09,0.052147,5.216e+09,0.048367,5.623e+09,0.050347,5.402e+09
52.2,0.049745,5.467e+09,0.051059,5.327e+09,0.052409,5.189e+09,0.048464,5.612e+09,0.050529,5.382e+09
54.2,0.049895,5.451e+09,0.051265,5.305e+09,0.052672,5.163e+09,0.048561,5.601e+09,0.050712,5.363e+09
56.2,0.050045,5.435e+09,0.051471,5.284e+09,0.052937,5.138e+09,0.048659,5.589e+09,0.050896,5.344e+09
58.2,0.050196,5.418e+09,0.051678,5.263e+09,0.053204,5.112e+09,0.048756,5.578e+09,0.051080,5.324e+09
60.2,0.050347,5.402e+09,0.051886,5.242e+09,0.053471,5.086e+09,0.048854,5.567e+09,0.051265,5.305e+09
62.2,0.050499,5.386e+09,0.052094,5.221e+09,0.053740,5.061e+09,0.048952,5.556e+09,0.051450,5.286e+09
64.2,0.050651,5.370e+09,0.052304,5.200e+09,0.054010,5.036e+09,0.049051,5.545e+09,0.051636,5.267e+09
66.2,0.050804,5.353e+09,0.052514,5.179e+09,0.054282,5.010e+09,0.049149,5.534e+09,0.051823,5.248e+09
68.2,0.050957,5.337e+09,0.052725,5.158e+09,0.054555,4.985e+09,0.049248,5.523e+09,0.052011,5.229e+09
70.2,0.051111,5.321e+09,0.052937,5.138e+09,0.054829,4.960e+09,0.049347,5.511e+09,0.052199,5.210e+09
72.2,0.051265,5.305e+09,0.053150,5.117e+09,0.055105,4.936e+09,0.049446,5.500e+09,0.052388,5.192e+09
74.2,0.051419,5.289e+09,0.053364,5.097e+09,0.055382,4.911e+09,0.049545,5.489e+09,0.052577,5.173e+09
76.3,0.051574,5.273e+09,0.053579,5.076e+09,0.055661,4.886e+09,0.049645,5.478e+09,0.052768,5.154e+09
78.3,0.051730,5.258e+09,0.053794,5.056e+09,0.055941,4.862e+09,0.049745,5.467e+09,0.052959,5.136e+09
80.3,0.051886,5.242e+09,0.054010,5.036e+09,0.056222,4.837e+09,0.049845,5.456e+09,0.053150,5.117e+09
82.3,0.052042,5.226e+09,0.054228,5.015e+09,0.056505,4.813e+09,0.049945,5.446e+09,0.053343,5.099e+09
84.3,0.052199,5.210e+09,0.054446,4.995e+09,0.056789,4.789e+09,0.050045,5.435e+09,0.053536,5.080e+09
86.3,0.052356,5.195e+09,0.054665,4.975e+09,0.057075,4.765e+09,0.050146,5.424e+09,0.053729,5.062e+09
88.3,0.052514,5.179e+09,0.054884,4.955e+09,0.057362,4.741e+09,0.050246,5.413e+09,0.053924,5.044e+09
90.3,0.052672,5.163e+09,0.055105,4.936e+09,0.057650,4.718e+09,0.050347,5.402e+09,0.054119,5.025e+09
92.3,0.052831,5.148e+09,0.055327,4.916e+09,0.057940,4.694e+09,0.050448,5.391e+09,0.054315,5.007e+09
94.3,0.052991,5.132e+09,0.055549,4.896e+09,0.058232,4.671e+09,0.050550,5.380e+09,0.054511,4.989e+09
96.3,0.053150,5.117e+09,0.055773,4.876e+09,0.058524,4.647e+09,0.050651,5.370e+09,0.054709,4.971e+09
98.3,0.053310,5.102e+09,0.055997,4.857e+09,0.058819,4.624e+09,0.050753,5.359e+09,0.054906,4.953e+09
100.3,0.053471,5.086e+09,0.056222,4.837e+09,0.059115,4.601e+09,0.050855,5.348e+09,0.055105,4.936e+09
102.3,0.053632,5.071e+09,0.056448,4.818e+09,0.059412,4.578e+09,0.050957,5.337e+09,0.055305,4.918e+09
104.3,0.053794,5.056e+09,0.056675,4.799e+09,0.059711,4.555e+09,0.051059,5.327e+09,0.055505,4.900e+09
106.4,0.053956,5.041e+09,0.056903,4.780e+09,0.060011,4.532e+09,0.051162,5.316e+09,0.055706,4.882e+09
108.4,0.054119,5.025e+09,0.057132,4.760e+09,0.060313,4.509e+09,0.051265,5.305e+09,0.055907,4.865e+09
110.4,0.054282,5.010e+09,0.057362,4.741e+09,0.060616,4.487e+09,0.051368,5.295e+09,0.056109,4.847e+09
112.4,0.054446,4.995e+09,0.057592,4.722e+09,0.060921,4.464e+09,0.051471,5.284e+09,0.056312,4.830e+09
114.4,0.054610,4.980e+09,0.057824,4.703e+09,0.061227,4.442e+09,0.051574,5.273e+09,0.056516,4.812e+09
116.4,0.054774,4.965e+09,0.058057,4.685e+09,0.061535,4.420e+09,0.051678,5.263e+09,0.056721,4.795e+09
118.4,0.054940,4.950e+09,0.058290,4.666e+09,0.061845,4.398e+09,0.051782,5.252e+09,0.056926,4.778e+09
120.4,0.055105,4.936e+09,0.058524,4.647e+09,0.062156,4.376e+09,0.051886,5.242e+09,0.057132,4.760e+09
122.4,0.055271,4.921e+09,0.058760,4.629e+09,0.062468,4.354e+09,0.051990,5.231e+09,0.057339,4.743e+09
124.4,0.055438,4.906e+09,0.058996,4.610e+09,0.062783,4.332e+09,0.052094,5.221e+09,0.057546,4.726e+09
126.4,0.055605,4.891e+09,0.059233,4.592e+09,0.063098,4.310e+09,0.052199,5.210e+09,0.057754,4.709e+09
128.4,0.055773,4.876e+09,0.059472,4.573e+09,0.063416,4.289e+09,0.052304,5.200e+09,0.057963,4.692e+09
130.4,0.055941,4.862e+09,0.059711,4.555e+09,0.063735,4.267e+09,0.052409,5.189e+09,0.058173,4.675e+09
132.4,0.056109,4.847e+09,0.059951,4.537e+09,0.064055,4.246e+09,0.052514,5.179e+09,0.058384,4.658e+09
134.4,0.056279,4.833e+09,0.060192,4.518e+09,0.064377,4.225e+09,0.052620,5.169e+09,0.058595,4.642e+09
136.5,0.056448,4.818e+09,0.060434,4.500e+09,0.064701,4.204e+09,0.052725,5.158e+09,0.058807,4.625e+09
138.5,0.056618,4.804e+09,0.060677,4.482e+09,0.065027,4.183e+09,0.052831,5.148e+09,0.059020,4.608e+09
140.5,0.056789,4.789e+09,0.060921,4.464e+09,0.065354,4.162e+09,0.052937,5.138e+09,0.059233,4.592e+09
142.5,0.056960,4.775e+09,0.061166,4.446e+09,0.065682,4.141e+09,0.053044,5.127e+09,0.059448,4.575e+09
144.5,0.057132,4.760e+09,0.061412,4.429e+09,0.066013,4.120e+09,0.053150,5.117e+09,0.059663,4.559e+09
146.5,0.057304,4.746e+09,0.061659,4.411e+09,0.066345,4.099e+09,0.053257,5.107e+09,0.059879,4.542e+09
148.5,0.057477,4.732e+09,0.061907,4.393e+09,0.066678,4.079e+09,0.053364,5.097e+09,0.060095,4.526e+09
150.5,0.057650,4.718e+09,0.062156,4.376e+09,0.067014,4.058e+09,0.053471,5.086e+09,0.060313,4.509e+09
152.5,0.057824,4.703e+09,0.062406,4.358e+09,0.067351,4.038e+09,0.053579,5.076e+09,0.060531,4.493e+09
154.5,0.057998,4.689e+09,0.062657,4.341e+09,0.067689,4.018e+09,0.053686,5.066e+09,0.060750,4.477e+09
156.5,0.058173,4.675e+09,0.062909,4.323e+09,0.068030,3.998e+09,0.053794,5.056e+09,0.060970,4.461e+09
158.5,0.058349,4.661e+09,0.063162,4.306e+09,0.068372,3.978e+09,0.053902,5.046e+09,0.061191,4.445e+09
160.5,0.058524,4.647e+09,0.063416,4.289e+09,0.068716,3.958e+09,0.054010,5.036e+09,0.061412,4.429e+09
162.5,0.058701,4.633e+09,0.063671,4.272e+09,0.069061,3.938e+09,0.054119,5.025e+09,0.061634,4.413e+09
164.5,0.058878,4.619e+09,0.063927,4.254e+09,0.069409,3.918e+09,0.054228,5.015e+09,0.061857,4.397e+09
166.6,0.059055,4.605e+09,0.064184,4.237e+09,0.069758,3.899e+09,0.054337,5.005e+09,0.062081,4.381e+09
168.6,0.059233,4.592e+09,0.064442,4.220e+09,0.070109,3.879e+09,0.054446,4.995e+09,0.062306,4.365e+09
170.6,0.059412,4.578e+09,0.064701,4.204e+09,0.070461,3.860e+09,0.054555,4.985e+09,0.062531,4.349e+09
172.6,0.059591,4.564e+09,0.064961,4.187e+09,0.070816,3.841e+09,0.054665,4.975e+09,0.062757,4.334e+09
174.6,0.059771,4.550e+09,0.065223,4.170e+09,0.071172,3.821e+09,0.054774,4.965e+09,0.062985,4.318e+09
176.6,0.059951,4.537e+09,0.065485,4.153e+09,0.071530,3.802e+09,0.054884,4.955e+09,0.063212,4.303e+09
178.6,0.060132,4.523e+09,0.065748,4.137e+09,0.071889,3.783e+09,0.054995,4.945e+09,0.063441,4.287e+09
180.6,0.060313,4.509e+09,0.066013,4.120e+09,0.072251,3.764e+09,0.055105,4.936e+09,0.063671,4.272e+09
182.6,0.060495,4.496e+09,0.066278,4.104e+09,0.072614,3.745e+09,0.055216,4.926e+09,0.063901,4.256e+09
184.6,0.060677,4.482e+09,0.066545,4.087e+09,0.072980,3.727e+09,0.055327,4.916e+09,0.064132,4.241e+09
186.6,0.060860,4.469e+09,0.066812,4.071e+09,0.073347,3.708e+09,0.055438,4.906e+09,0.064364,4.226e+09
188.6,0.061043,4.455e+09,0.067081,4.054e+09,0.073716,3.690e+09,0.055549,4.896e+09,0.064597,4.210e+09
190.6,0.061227,4.442e+09,0.067351,4.038e+09,0.074086,3.671e+09,0.055661,4.886e+09,0.064831,4.195e+09
192.6,0.061412,4.429e+09,0.067621,4.022e+09,0.074459,3.653e+09,0.055773,4.876e+09,0.065066,4.180e+09
194.6,0.061597,4.415e+09,0.067893,4.006e+09,0.074833,3.634e+09,0.055885,4.867e+09,0.065301,4.165e+09
196.7,0.061783,4.402e+09,0.068166,3.990e+09,0.075210,3.616e+09,0.055997,4.857e+09,0.065537,4.150e+09
198.7,0.061969,4.389e+09,0.068441,3.974e+09,0.075588,3.598e+09,0.056109,4.847e+09,0.065775,4.135e+09
200.7,0.062156,4.376e+09,0.068716,3.958e+09,0.075968,3.580e+09,0.056222,4.837e+09,0.066013,4.120e+09
202.7,0.062343,4.363e+09,0.068992,3.942e+09,0.076350,3.562e+09,0.056335,4.828e+09,0.066251,4.105e+09
204.7,0.062531,4.349e+09,0.069270,3.926e+09,0.076734,3.544e+09,0.056448,4.818e+09,0.066491,4.090e+09
206.7,0.062720,4.336e+09,0.069548,3.911e+09,0.077120,3.527e+09,0.056562,4.808e+09,0.066732,4.076e+09
208.7,0.062909,4.323e+09,0.069828,3.895e+09,0.077508,3.509e+09,0.056675,4.799e+09,0.066973,4.061e+09
210.7,0.063098,4.310e+09,0.070109,3.879e+09,0.077898,3.491e+09,0.056789,4.789e+09,0.067216,4.046e+09
212.7,0.063289,4.297e+09,0.070391,3.864e+09,0.078290,3.474e+09,0.056903,4.780e+09,0.067459,4.032e+09
214.7,0.063479,4.284e+09,0.070674,3.848e+09,0.078683,3.457e+09,0.057017,4.770e+09,0.067703,4.017e+09
216.7,0.063671,4.272e+09,0.070958,3.833e+09,0.079079,3.439e+09,0.057132,4.760e+09,0.067948,4.003e+09
218.7,0.063863,4.259e+09,0.071243,3.818e+09,0.079477,3.422e+09,0.057247,4.751e+09,0.068194,3.988e+09
220.7,0.064055,4.246e+09,0.071530,3.802e+09,0.079876,3.405e+09,0.057362,4.741e+09,0.068441,3.974e+09
222.7,0.064248,4.233e+09,0.071817,3.787e+09,0.080278,3.388e+09,0.057477,4.732e+09,0.068688,3.960e+09
224.7,0.064442,4.220e+09,0.072106,3.772e+09,0.080682,3.371e+09,0.057592,4.722e+09,0.068937,3.945e+09
226.8,0.064636,4.208e+09,0.072396,3.757e+09,0.081088,3.354e+09,0.057708,4.713e+09,0.069186,3.931e+09
228.8,0.064831,4.195e+09,0.072687,3.742e+09,0.081495,3.337e+09,0.057824,4.703e+09,0.069437,3.917e+09
230.8,0.065027,4.183e+09,0.072980,3.727e+09,0.081905,3.321e+09,0.057940,4.694e+09,0.069688,3.903e+09
232.8,0.065223,4.170e+09,0.073273,3.712e+09,0.082317,3.304e+09,0.058057,4.685e+09,0.069940,3.889e+09
