t_h,eta_schneller Abbau  (τ=200 h)_Pas,eta_mittlerer Abbau  (τ=500 h)_Pas,eta_langsamer Abbau  (τ=1000 h)_Pas,eta_sehr langsam     (τ=2000 h)_Pas,K_alt_schneller Abbau  (τ=200 h)_MPa,K_alt_mittlerer Abbau  (τ=500 h)_MPa,K_alt_langsamer Abbau  (τ=1000 h)_MPa,K_alt_sehr langsam     (τ=2000 h)_MPa
2859.5,0.02500,0.02507,0.02620,0.03003,1347.9757,1348.2254,1352.3950,1367.4129
2869.6,0.02500,0.02507,0.02619,0.03000,1347.9757,1348.2204,1352.3502,1367.3085
2879.6,0.02500,0.02507,0.02618,0.02998,1347.9757,1348.2155,1352.3059,1367.2047
2889.6,0.02500,0.02506,0.02617,0.02995,1347.9757,1348.2108,1352.2621,1367.1016
2899.7,0.02500,0.02506,0.02616,0.02993,1347.9757,1348.2061,1352.2187,1366.9990
2909.7,0.02500,0.02506,0.02614,0.02990,1347.9757,1348.2015,1352.1757,1366.8971
2919.7,0.02500,0.02506,0.02613,0.02988,1347.9757,1348.1970,1352.1332,1366.7957
2929.8,0.02500,0.02506,0.02612,0.02985,1347.9756,1348.1926,1352.0911,1366.6949
2939.8,0.02500,0.02506,0.02611,0.02983,1347.9756,1348.1883,1352.0494,1366.5947
2949.8,0.02500,0.02506,0.02610,0.02980,1347.9756,1348.1841,1352.0082,1366.4951
2959.9,0.02500,0.02506,0.02609,0.02978,1347.9756,1348.1799,1351.9674,1366.3960
2969.9,0.02500,0.02506,0.02608,0.02976,1347.9756,1348.1759,1351.9270,1366.2975
2979.9,0.02500,0.02505,0.02607,0.02973,1347.9756,1348.1719,1351.8871,1366.1996
2990.0,0.02500,0.02505,0.02606,0.02971,1347.9756,1348.1680,1351.8475,1366.1022
3000.0,0.02500,0.02505,0.02605,0.02969,1347.9756,1348.1641,1351.8084,1366.0054
