r_nm,DeltaP_L_Mineralöl VG 46_Pa,DeltaP_L_Phosphatester HEP_Pa,DeltaP_L_Wasserglykol HFC_Pa,DeltaP_L_Esteröl HEES_Pa,DeltaP_L_Silikonöl_Pa,P_kav_Mineralöl VG 46_bar,P_kav_Phosphatester HEP_bar,P_kav_Wasserglykol HFC_bar,P_kav_Esteröl HEES_bar,P_kav_Silikonöl_bar
180.15,333052.08,444069.44,721612.84,355255.55,233136.46,3.3355,4.4457,7.2211,3.5576,2.3364
184.36,325452.11,433936.15,705146.24,347148.92,227816.48,3.2595,4.3444,7.0565,3.4765,2.2832
188.66,318025.56,424034.08,689055.38,339227.27,222617.89,3.1853,4.2453,6.8956,3.3973,2.2312
193.07,310768.48,414357.97,673331.71,331486.38,217537.94,3.1127,4.1486,6.7383,3.3199,2.1804
197.58,303677.00,404902.67,657966.84,323922.13,212573.90,3.0418,4.0540,6.5847,3.2442,2.1307
202.19,296747.34,395663.12,642952.58,316530.50,207723.14,2.9725,3.9616,6.4345,3.1703,2.0822
206.91,289975.81,386634.42,628280.93,309307.54,202983.07,2.9048,3.8713,6.2878,3.0981,2.0348
211.75,283358.81,377811.74,613944.08,302249.39,198351.16,2.8386,3.7831,6.1444,3.0275,1.9885
216.69,276892.79,369190.39,599934.38,295352.31,193824.95,2.7739,3.6969,6.0043,2.9585,1.9432
221.75,270574.33,360765.77,586244.38,288612.62,189402.03,2.7107,3.6127,5.8674,2.8911,1.8990
226.93,264400.05,352533.39,572866.77,282026.72,185080.03,2.6490,3.5303,5.7337,2.8253,1.8558
232.23,258366.66,344488.87,559794.42,275591.10,180856.66,2.5887,3.4499,5.6029,2.7609,1.8136
237.65,252470.94,336627.92,547020.37,269302.34,176729.66,2.5297,3.3713,5.4752,2.6980,1.7723
243.20,246709.76,328946.35,534537.82,263157.08,172696.83,2.4721,3.2945,5.3504,2.6366,1.7320
248.88,241080.05,321440.07,522340.11,257152.05,168756.04,2.4158,3.2194,5.2284,2.5765,1.6926
254.69,235578.80,314105.07,510420.74,251284.06,164905.16,2.3608,3.1461,5.1092,2.5178,1.6541
260.64,230203.09,306937.45,498773.36,245549.96,161142.16,2.3070,3.0744,4.9927,2.4605,1.6164
266.73,224950.05,299933.40,487391.77,239946.72,157465.03,2.2545,3.0043,4.8789,2.4045,1.5797
272.95,219816.87,293089.16,476269.89,234471.33,153871.81,2.2032,2.9359,4.7677,2.3497,1.5437
279.33,214800.83,286401.11,465401.81,229120.89,150360.58,2.1530,2.8690,4.6590,2.2962,1.5086
285.85,209899.26,279865.67,454781.72,223892.54,146929.48,2.1040,2.8037,4.5528,2.2439,1.4743
292.53,205109.53,273479.37,444403.98,218783.50,143576.67,2.0561,2.7398,4.4490,2.1928,1.4408
299.36,200429.10,267238.80,434263.05,213791.04,140300.37,2.0093,2.6774,4.3476,2.1429,1.4080
306.35,195855.47,261140.63,424353.52,208912.50,137098.83,1.9636,2.6164,4.2485,2.0941,1.3760
313.50,191386.21,255181.62,414670.13,204145.29,133970.35,1.9189,2.5568,4.1517,2.0465,1.3447
320.82,187018.94,249358.58,405207.70,199486.87,130913.26,1.8752,2.4986,4.0571,1.9999,1.3141
328.32,182751.32,243668.43,395961.19,194934.74,127925.92,1.8325,2.4417,3.9646,1.9543,1.2843
335.98,178581.09,238108.12,386925.69,190486.49,125006.76,1.7908,2.3861,3.8743,1.9099,1.2551
343.83,174506.01,232674.69,378096.36,186139.75,122154.21,1.7501,2.3317,3.7860,1.8664,1.2265
351.86,170523.93,227365.24,369468.52,181892.19,119366.75,1.7102,2.2787,3.6997,1.8239,1.1987
360.07,166632.72,222176.95,361037.55,177741.56,116642.90,1.6713,2.2268,3.6154,1.7824,1.1714
368.48,162830.30,217107.06,352798.97,173685.65,113981.21,1.6333,2.1761,3.5330,1.7419,1.1448
377.09,159114.64,212152.86,344748.39,169722.29,111380.25,1.5961,2.1265,3.4525,1.7022,1.1188
385.89,155483.78,207311.70,336881.52,165849.36,108838.64,1.5598,2.0781,3.3738,1.6635,1.0934
394.90,151935.77,202581.02,329194.16,162064.82,106355.04,1.5244,2.0308,3.2969,1.6256,1.0686
404.13,148468.72,197958.29,321682.22,158366.63,103928.10,1.4897,1.9846,3.2218,1.5887,1.0443
413.56,145080.79,193441.05,314341.70,154752.84,101556.55,1.4558,1.9394,3.1484,1.5525,1.0206
423.22,141770.16,189026.88,307168.68,151221.51,99239.11,1.4227,1.8953,3.0767,1.5172,0.9974
433.10,138535.08,184713.45,300159.35,147770.76,96974.56,1.3904,1.8521,3.0066,1.4827,0.9747
443.22,135373.83,180498.44,293309.96,144398.75,94761.68,1.3587,1.8100,2.9381,1.4490,0.9526
453.57,132284.71,176379.61,286616.87,141103.69,92599.30,1.3278,1.7688,2.8712,1.4160,0.9310
464.16,129266.08,172354.78,280076.51,137883.82,90486.26,1.2977,1.7285,2.8058,1.3838,0.9099
475.00,126316.34,168421.78,273685.40,134737.43,88421.44,1.2682,1.6892,2.7419,1.3524,0.8892
486.09,123433.90,164578.54,267440.12,131662.83,86403.73,1.2393,1.6508,2.6794,1.3216,0.8690
497.44,120617.24,160822.99,261337.36,128658.39,84432.07,1.2112,1.6132,2.6184,1.2916,0.8493
509.06,117864.86,157153.14,255373.86,125722.51,82505.40,1.1836,1.5765,2.5587,1.2622,0.8301
520.95,115175.28,153567.04,249546.44,122853.63,80622.69,1.1568,1.5407,2.5005,1.2335,0.8112
533.11,112547.07,150062.77,243851.99,120050.21,78782.95,1.1305,1.5056,2.4435,1.2055,0.7928
545.56,109978.84,146638.46,238287.49,117310.77,76985.19,1.1048,1.4714,2.3879,1.1781,0.7749
558.30,107469.22,143292.29,232849.97,114633.83,75228.45,1.0797,1.4379,2.3335,1.1513,0.7573
571.34,105016.86,140022.48,227536.53,112017.98,73511.80,1.0552,1.4052,2.2804,1.1252,0.7401
584.68,102620.46,136827.28,222344.33,109461.82,71834.32,1.0312,1.3733,2.2284,1.0996,0.7233
598.33,100278.75,133704.99,217270.62,106964.00,70195.12,1.0078,1.3420,2.1777,1.0746,0.7070
612.30,97990.47,130653.96,212312.68,104523.17,68593.33,0.9849,1.3115,2.1281,1.0502,0.6909
626.60,95754.41,127672.54,207467.88,102138.03,67028.08,0.9625,1.2817,2.0797,1.0264,0.6753
641.24,93569.37,124759.16,202733.64,99807.33,65498.56,0.9407,1.2526,2.0323,1.0031,0.6600
656.21,91434.19,121912.26,198107.42,97529.81,64003.94,0.9193,1.2241,1.9861,0.9803,0.6450
671.53,89347.74,119130.32,193586.77,95304.26,62543.42,0.8985,1.1963,1.9409,0.9580,0.6304
687.22,87308.90,116411.87,189169.28,93129.49,61116.23,0.8781,1.1691,1.8967,0.9363,0.6162
703.26,85316.58,113755.44,184852.60,91004.36,59721.61,0.8582,1.1426,1.8535,0.9150,0.6022
719.69,83369.73,111159.64,180634.41,88927.71,58358.81,0.8387,1.1166,1.8113,0.8943,0.5886
736.49,81467.30,108623.07,176512.49,86898.45,57027.11,0.8197,1.0912,1.7701,0.8740,0.5753
753.69,79608.28,106144.38,172484.62,84915.50,55725.80,0.8011,1.0664,1.7298,0.8542,0.5623
771.29,77791.69,103722.25,168548.66,82977.80,54454.18,0.7829,1.0422,1.6905,0.8348,0.5495
789.30,76016.55,101355.40,164702.52,81084.32,53211.58,0.7652,1.0186,1.6520,0.8158,0.5371
807.73,74281.91,99042.55,160944.14,79234.04,51997.34,0.7478,0.9954,1.6144,0.7973,0.5250
826.60,72586.86,96782.48,157271.53,77425.99,50810.80,0.7309,0.9728,1.5777,0.7793,0.5131
845.90,70930.49,94573.99,153682.73,75659.19,49651.34,0.7143,0.9507,1.5418,0.7616,0.5015
865.65,69311.91,92415.89,150175.81,73932.71,48518.34,0.6981,0.9292,1.5068,0.7443,0.4902
885.87,67730.27,90307.03,146748.93,72245.63,47411.19,0.6823,0.9081,1.4725,0.7275,0.4791
906.55,66184.72,88246.30,143400.24,70597.04,46329.31,0.6668,0.8875,1.4390,0.7110,0.4683
927.72,64674.44,86232.59,140127.96,68986.07,45272.11,0.6517,0.8673,1.4063,0.6949,0.4577
949.39,63198.63,84264.84,136930.36,67411.87,44239.04,0.6370,0.8476,1.3743,0.6791,0.4474
971.56,61756.49,82341.98,133805.72,65873.59,43229.54,0.6226,0.8284,1.3431,0.6637,0.4373
994.25,60347.25,80463.01,130752.38,64370.40,42243.08,0.6085,0.8096,1.3125,0.6487,0.4274
1017.46,58970.18,78626.91,127768.72,62901.53,41279.13,0.5947,0.7913,1.2827,0.6340,0.4178
1041.22,57624.53,76832.71,124853.15,61466.16,40337.17,0.5812,0.7733,1.2535,0.6197,0.4084
1065.54,56309.59,75079.45,122004.10,60063.56,39416.71,0.5681,0.7558,1.2250,0.6056,0.3992
1090.42,55024.65,73366.20,119220.07,58692.96,38517.25,0.5552,0.7387,1.1972,0.5919,0.3902
1115.88,53769.03,71692.04,116499.57,57353.63,37638.32,0.5427,0.7219,1.1700,0.5785,0.3814
1141.94,52542.07,70056.09,113841.14,56044.87,36779.45,0.5304,0.7056,1.1434,0.5654,0.3728
1168.61,51343.10,68457.47,111243.38,54765.97,35940.17,0.5184,0.6896,1.1174,0.5527,0.3644
1195.90,50171.49,66895.32,108704.90,53516.26,35120.04,0.5067,0.6740,1.0920,0.5402,0.3562
1223.82,49026.62,65368.83,106224.34,52295.06,34318.63,0.4953,0.6587,1.0672,0.5280,0.3482
1252.40,47907.87,63877.16,103800.39,51101.73,33535.51,0.4841,0.6438,1.0430,0.5160,0.3404
1281.65,46814.65,62419.54,101431.75,49935.63,32770.26,0.4731,0.6292,1.0193,0.5044,0.3327
1311.58,45746.38,60995.18,99117.16,48796.14,32022.47,0.4625,0.6150,0.9962,0.4930,0.3252
1342.21,44702.49,59603.32,96855.39,47682.65,31291.74,0.4520,0.6010,0.9736,0.4818,0.3179
1373.55,43682.41,58243.22,94645.23,46594.58,30577.69,0.4418,0.5874,0.9515,0.4709,0.3108
1405.63,42685.62,56914.16,92485.51,45531.33,29879.93,0.4319,0.5741,0.9299,0.4603,0.3038
1438.45,41711.57,55615.42,90375.06,44492.34,29198.10,0.4221,0.5612,0.9088,0.4499,0.2970
1472.04,40759.74,54346.33,88312.78,43477.06,28531.82,0.4126,0.5485,0.8881,0.4398,0.2903
1506.42,39829.64,53106.19,86297.55,42484.95,27880.75,0.4033,0.5361,0.8680,0.4298,0.2838
1541.59,38920.76,51894.35,84328.32,41515.48,27244.53,0.3942,0.5239,0.8483,0.4202,0.2774
1577.59,38032.62,50710.16,82404.01,40568.13,26622.84,0.3853,0.5121,0.8290,0.4107,0.2712
1614.43,37164.75,49553.00,80523.62,39642.40,26015.32,0.3766,0.5005,0.8102,0.4014,0.2652
1652.13,36316.68,48422.24,78686.14,38737.79,25421.68,0.3682,0.4892,0.7919,0.3924,0.2592
1690.71,35487.96,47317.28,76890.59,37853.83,24841.57,0.3599,0.4782,0.7739,0.3835,0.2534
1730.20,34678.16,46237.54,75136.01,36990.03,24274.71,0.3518,0.4674,0.7564,0.3749,0.2477
1770.60,33886.83,45182.44,73421.47,36145.95,23720.78,0.3439,0.4568,0.7392,0.3665,0.2422
1811.95,33113.56,44151.41,71746.05,35321.13,23179.49,0.3361,0.4465,0.7225,0.3582,0.2368
1854.26,32357.94,43143.92,70108.86,34515.13,22650.56,0.3286,0.4364,0.7061,0.3502,0.2315
1897.56,31619.56,42159.41,68509.04,33727.53,22133.69,0.3212,0.4266,0.6901,0.3423,0.2263
1941.87,30898.02,41197.36,66945.72,32957.89,21628.62,0.3140,0.4170,0.6745,0.3346,0.2213
1987.22,30192.96,40257.27,65418.07,32205.82,21135.07,0.3069,0.4076,0.6592,0.3271,0.2164
2033.62,29503.98,39338.64,63925.29,31470.91,20652.78,0.3000,0.3984,0.6443,0.3197,0.2115
2081.11,28830.72,38440.96,62466.56,30752.77,20181.51,0.2933,0.3894,0.6297,0.3125,0.2068
2129.71,28172.83,37563.77,61041.13,30051.02,19720.98,0.2867,0.3806,0.6154,0.3055,0.2022
2179.44,27529.95,36706.60,59648.22,29365.28,19270.96,0.2803,0.3721,0.6015,0.2987,0.1977
2230.34,26901.74,35868.98,58287.10,28695.19,18831.22,0.2740,0.3637,0.5879,0.2920,0.1933
2282.42,26287.86,35050.48,56957.03,28040.39,18401.50,0.2679,0.3555,0.5746,0.2854,0.1890
2335.72,25687.99,34250.66,55657.32,27400.53,17981.60,0.2619,0.3475,0.5616,0.2790,0.1848
2390.27,25101.82,33469.09,54387.27,26775.27,17571.27,0.2560,0.3397,0.5489,0.2728,0.1807
2446.08,24529.01,32705.35,53146.19,26164.28,17170.31,0.2503,0.3321,0.5365,0.2666,0.1767
2503.20,23969.28,31959.04,51933.44,25567.23,16778.50,0.2447,0.3246,0.5243,0.2607,0.1728
2561.66,23422.32,31229.76,50748.36,24983.81,16395.63,0.2392,0.3173,0.5125,0.2548,0.1690
2621.48,22887.84,30517.13,49590.33,24413.70,16021.49,0.2339,0.3102,0.5009,0.2491,0.1652
2682.70,22365.56,29820.75,48458.72,23856.60,15655.89,0.2287,0.3032,0.4896,0.2436,0.1616
2745.34,21855.20,29140.26,47352.93,23312.21,15298.64,0.2236,0.2964,0.4785,0.2381,0.1580
2809.45,21356.48,28475.31,46272.38,22780.25,14949.54,0.2186,0.2898,0.4677,0.2328,0.1545
2875.06,20869.14,27825.53,45216.48,22260.42,14608.40,0.2137,0.2833,0.4572,0.2276,0.1511
2942.20,20392.93,27190.57,44184.68,21752.46,14275.05,0.2089,0.2769,0.4468,0.2225,0.1478
3010.90,19927.58,26570.10,43176.42,21256.08,13949.30,0.2043,0.2707,0.4368,0.2176,0.1445
3081.21,19472.85,25963.80,42191.17,20771.04,13630.99,0.1997,0.2646,0.4269,0.2127,0.1413
3153.17,19028.49,25371.32,41228.40,20297.06,13319.94,0.1953,0.2587,0.4173,0.2080,0.1382
3226.80,18594.28,24792.37,40287.60,19833.90,13015.99,0.1909,0.2529,0.4079,0.2033,0.1352
3302.15,18169.97,24226.63,39368.27,19381.30,12718.98,0.1867,0.2473,0.3987,0.1988,0.1322
3379.26,17755.35,23673.80,38469.92,18939.04,12428.74,0.1826,0.2417,0.3897,0.1944,0.1293
3458.18,17350.19,23133.58,37592.07,18506.86,12145.13,0.1785,0.2363,0.3809,0.1901,0.1265
3538.93,16954.27,22605.69,36734.25,18084.55,11867.99,0.1745,0.2311,0.3723,0.1858,0.1237
3621.57,16567.39,22089.85,35896.00,17671.88,11597.17,0.1707,0.2259,0.3640,0.1817,0.1210
3706.14,16189.33,21585.78,35076.89,17268.62,11332.53,0.1669,0.2209,0.3558,0.1777,0.1183
3792.69,15819.91,21093.21,34276.46,16874.57,11073.93,0.1632,0.2159,0.3478,0.1737,0.1157
3881.26,15458.91,20611.88,33494.30,16489.50,10821.24,0.1596,0.2111,0.3399,0.1699,0.1132
3971.89,15106.15,20141.53,32729.99,16113.23,10574.30,0.1561,0.2064,0.3323,0.1661,0.1107
4064.64,14761.44,19681.92,31983.12,15745.53,10333.01,0.1526,0.2018,0.3248,0.1625,0.1083
4159.56,14424.60,19232.79,31253.29,15386.23,10097.22,0.1492,0.1973,0.3175,0.1589,0.1060
4256.70,14095.44,18793.92,30540.12,15035.13,9866.81,0.1460,0.1929,0.3104,0.1554,0.1037
4356.10,13773.79,18365.06,29843.22,14692.04,9641.65,0.1427,0.1887,0.3034,0.1519,0.1014
4457.82,13459.49,17945.98,29162.22,14356.78,9421.64,0.1396,0.1845,0.2966,0.1486,0.0992
4561.92,13152.35,17536.47,28496.76,14029.17,9206.65,0.1365,0.1804,0.2900,0.1453,0.0971
4668.45,12852.22,17136.30,27846.49,13709.04,8996.56,0.1335,0.1764,0.2835,0.1421,0.0950
4777.47,12558.95,16745.26,27211.05,13396.21,8791.26,0.1306,0.1725,0.2771,0.1390,0.0929
4889.03,12272.36,16363.15,26590.12,13090.52,8590.65,0.1277,0.1686,0.2709,0.1359,0.0909
5003.20,11992.32,15989.76,25983.36,12791.81,8394.62,0.1249,0.1649,0.2648,0.1329,0.0889
5120.04,11718.66,15624.88,25390.44,12499.91,8203.06,0.1222,0.1612,0.2589,0.1300,0.0870
5239.60,11451.25,15268.34,24811.05,12214.67,8015.88,0.1195,0.1577,0.2531,0.1271,0.0852
5361.96,11189.94,14919.93,24244.88,11935.94,7832.96,0.1169,0.1542,0.2474,0.1244,0.0833
5487.17,10934.60,14579.47,23691.63,11663.57,7654.22,0.1143,0.1508,0.2419,0.1216,0.0815
5615.31,10685.08,14246.77,23151.01,11397.42,7479.56,0.1119,0.1475,0.2365,0.1190,0.0798
5746.43,10441.26,13921.67,22622.72,11137.34,7308.88,0.1094,0.1442,0.2312,0.1164,0.0781
5880.63,10203.00,13603.99,22106.49,10883.20,7142.10,0.1070,0.1410,0.2261,0.1138,0.0764
6017.95,9970.17,13293.56,21602.04,10634.85,6979.12,0.1047,0.1379,0.2210,0.1113,0.0748
6158.48,9742.66,12990.21,21109.10,10392.17,6819.86,0.1024,0.1349,0.2161,0.1089,0.0732
6302.30,9520.34,12693.79,20627.41,10155.03,6664.24,0.1002,0.1319,0.2113,0.1066,0.0716
6449.47,9303.09,12404.13,20156.71,9923.30,6512.17,0.0980,0.1290,0.2066,0.1042,0.0701
6600.08,9090.81,12121.07,19696.75,9696.86,6363.56,0.0959,0.1262,0.2020,0.1020,0.0686
6754.20,8883.36,11844.48,19247.28,9475.59,6218.35,0.0938,0.1234,0.1975,0.0998,0.0672
6911.92,8680.65,11574.20,18808.08,9259.36,6076.46,0.0918,0.1207,0.1931,0.0976,0.0658
7073.33,8482.56,11310.09,18378.89,9048.07,5937.80,0.0898,0.1181,0.1888,0.0955,0.0644
7238.51,8289.00,11052.00,17959.50,8841.60,5802.30,0.0879,0.1155,0.1846,0.0934,0.0630
7407.54,8099.85,10799.80,17549.68,8639.84,5669.90,0.0860,0.1130,0.1805,0.0914,0.0617
7580.52,7915.02,10553.36,17149.21,8442.69,5540.51,0.0842,0.1105,0.1765,0.0894,0.0604
7757.55,7734.41,10312.54,16757.88,8250.03,5414.08,0.0823,0.1081,0.1726,0.0875,0.0591
7938.70,7557.91,10077.22,16375.48,8061.77,5290.54,0.0806,0.1058,0.1688,0.0856,0.0579
8124.08,7385.45,9847.26,16001.80,7877.81,5169.81,0.0789,0.1035,0.1650,0.0838,0.0567
8313.80,7216.92,9622.56,15636.65,7698.05,5051.84,0.0772,0.1012,0.1614,0.0820,0.0555
8507.94,7052.23,9402.98,15279.84,7522.38,4936.56,0.0755,0.0990,0.1578,0.0802,0.0544
8706.62,6891.31,9188.41,14931.17,7350.73,4823.92,0.0739,0.0969,0.1543,0.0785,0.0532
8909.94,6734.05,8978.74,14590.45,7182.99,4713.84,0.0723,0.0948,0.1509,0.0768,0.0521
9118.00,6580.39,8773.85,14257.51,7019.08,4606.27,0.0708,0.0927,0.1476,0.0752,0.0511
9330.93,6430.23,8573.64,13932.16,6858.91,4501.16,0.0693,0.0907,0.1443,0.0736,0.0500
9548.82,6283.50,8378.00,13614.24,6702.40,4398.45,0.0678,0.0888,0.1411,0.0720,0.0490
9771.81,6140.11,8186.82,13303.58,6549.45,4298.08,0.0664,0.0869,0.1380,0.0705,0.0480
10000.00,6000.00,8000.00,13000.00,6400.00,4200.00,0.0650,0.0850,0.1350,0.0690,0.0470
