r_nm,DeltaP_L_Mineralöl VG 46_Pa,DeltaP_L_Phosphatester HEP_Pa,DeltaP_L_Wasserglykol HFC_Pa,DeltaP_L_Esteröl HEES_Pa,DeltaP_L_Silikonöl_Pa,P_kav_Mineralöl VG 46_bar,P_kav_Phosphatester HEP_bar,P_kav_Wasserglykol HFC_bar,P_kav_Esteröl HEES_bar,P_kav_Silikonöl_bar
3.17,18918997.40,25225329.87,40991161.04,20180263.89,13243298.18,189.1950,252.2583,409.9166,201.8076,132.4380
3.25,18487281.53,24649708.71,40055776.65,19719766.97,12941097.07,184.8778,246.5021,400.5628,197.2027,129.4160
3.32,18065417.06,24087222.75,39141736.97,19269778.20,12645791.94,180.6592,240.8772,391.4224,192.7028,126.4629
3.40,17653179.19,23537572.25,38248554.91,18830057.80,12357225.43,176.5368,235.3807,382.4905,188.3056,123.5773
3.48,17250348.25,23000464.33,37375754.53,18400371.46,12075243.77,172.5085,230.0096,373.7625,184.0087,120.7574
3.56,16856709.57,22475612.76,36522870.73,17980490.21,11799696.70,168.5721,224.7611,365.2337,179.8099,118.0020
3.64,16472053.40,21962737.87,35689449.04,17570190.30,11530437.38,164.7255,219.6324,356.8995,175.7069,115.3094
3.73,16096174.77,21461566.36,34875045.34,17169253.09,11267322.34,160.9667,214.6207,348.7555,171.6975,112.6782
3.81,15728873.38,20971831.17,34079225.66,16777464.94,11010211.37,157.2937,209.7233,340.7973,167.7796,110.1071
3.90,15369953.50,20493271.34,33301565.92,16394617.07,10758967.45,153.7045,204.9377,333.0207,163.9512,107.5947
3.99,15019223.88,20025631.84,32541651.74,16020505.47,10513456.71,150.1972,200.2613,325.4215,160.2101,105.1396
4.09,14676497.61,19568663.49,31799078.17,15654930.79,10273548.33,146.7700,195.6916,317.9958,156.5543,102.7405
4.18,14341592.08,19122122.77,31073449.51,15297698.22,10039114.46,143.4209,191.2262,310.7395,152.9820,100.3961
4.28,14014328.81,18685771.75,30364379.10,14948617.40,9810030.17,140.1483,186.8627,303.6488,149.4912,98.1053
4.38,13694533.43,18259377.90,29671489.09,14607502.32,9586173.40,136.9503,182.5988,296.7199,146.0800,95.8667
4.48,13382035.50,17842714.00,28994410.25,14274171.20,9367424.85,133.8254,178.4321,289.9491,142.7467,93.6792
4.59,13076668.52,17435558.03,28332781.80,13948446.42,9153667.97,130.7717,174.3606,283.3328,139.4895,91.5417
4.70,12778269.77,17037693.02,27686251.16,13630154.42,8944788.84,127.7877,170.3819,276.8675,136.3065,89.4529
4.81,12486680.22,16648906.96,27054473.81,13319125.57,8740676.15,124.8718,166.4941,270.5497,133.1963,87.4118
4.92,12201744.51,16268992.68,26437113.10,13015194.14,8541221.16,122.0224,162.6949,264.3761,130.1569,85.4172
5.03,11923310.79,15897747.72,25833840.05,12718198.18,8346317.56,119.2381,158.9825,258.3434,127.1870,83.4682
5.15,11651230.70,15534974.27,25244333.19,12427979.42,8155861.49,116.5173,155.3547,252.4483,124.2848,81.5636
5.27,11385359.26,15180479.01,24668278.39,12144383.21,7969751.48,113.8586,151.8098,246.6878,121.4488,79.7025
5.39,11125554.78,14834073.04,24105368.69,11867258.43,7787888.35,111.2605,148.3457,241.0587,118.6776,77.8839
5.52,10871678.82,14495571.77,23555304.12,11596457.41,7610175.18,108.7218,144.9607,235.5580,115.9696,76.1068
5.65,10623596.11,14164794.81,23017791.57,11331835.85,7436517.28,106.2410,141.6529,230.1829,113.3234,74.3702
5.78,10381174.43,13841565.91,22492544.60,11073252.73,7266822.10,103.8167,138.4207,224.9304,110.7375,72.6732
5.91,10144284.62,13525712.83,21979283.35,10820570.26,7100999.23,101.4478,135.2621,219.7978,108.2107,71.0150
6.05,9912800.44,13217067.25,21477734.28,10573653.80,6938960.31,99.1330,132.1757,214.7823,105.7415,69.3946
6.19,9686598.53,12915464.71,20987630.15,10332371.77,6780618.97,96.8710,129.1596,209.8813,103.3287,67.8112
6.34,9465558.37,12620744.49,20508709.80,10096595.59,6625890.86,94.6606,126.2124,205.0921,100.9710,66.2639
6.49,9249562.16,12332749.54,20040718.01,9866199.63,6474693.51,92.5006,123.3325,200.4122,98.6670,64.7519
6.64,9038494.80,12051326.40,19583405.40,9641061.12,6326946.36,90.3899,120.5183,195.8391,96.4156,63.2745
6.79,8832243.83,11776325.10,19136528.29,9421060.08,6182570.68,88.3274,117.7683,191.3703,94.2156,61.8307
6.95,8630699.33,11507599.11,18699848.55,9206079.29,6041489.53,86.3120,115.0810,187.0035,92.0658,60.4199
7.11,8433753.91,11245005.21,18273133.47,8996004.17,5903627.74,84.3425,112.4551,182.7363,89.9650,59.0413
7.28,8241302.62,10988403.50,17856155.69,8790722.80,5768911.84,82.4180,109.8890,178.5666,87.9122,57.6941
7.45,8053242.92,10737657.22,17448692.99,8590125.78,5637270.04,80.5374,107.3816,174.4919,85.9063,56.3777
7.62,7869474.58,10492632.77,17050528.25,8394106.21,5508632.20,78.6997,104.9313,170.5103,83.9461,55.0913
7.80,7689899.68,10253199.57,16661449.30,8202559.65,5382929.77,76.9040,102.5370,166.6195,82.0306,53.8343
7.98,7514422.53,10019230.04,16281248.81,8015384.03,5260095.77,75.1492,100.1973,162.8175,80.1588,52.6060
8.17,7342949.62,9790599.50,15909724.18,7832479.60,5140064.74,73.4345,97.9110,159.1022,78.3298,51.4056
8.36,7175389.59,9567186.11,15546677.44,7653748.89,5022772.71,71.7589,95.6769,155.4718,76.5425,50.2327
8.56,7011653.13,9348870.84,15191915.12,7479096.67,4908157.19,70.1215,93.4937,151.9242,74.7960,49.0866
8.76,6851653.01,9135537.34,14845248.18,7308429.88,4796157.11,68.5215,91.3604,148.4575,73.0893,47.9666
8.96,6695303.96,8927071.94,14506491.90,7141657.55,4686712.77,66.9580,89.2757,145.0699,71.4216,46.8721
9.17,6542522.66,8723363.54,14175465.76,6978690.83,4579765.86,65.4302,87.2386,141.7597,69.7919,45.8027
9.38,6393227.70,8524303.60,13851993.36,6819442.88,4475259.39,63.9373,85.2480,138.5249,68.1994,44.7576
9.60,6247339.54,8329786.05,13535902.33,6663828.84,4373137.68,62.4784,83.3029,135.3640,66.6433,43.7364
9.83,6104780.42,8139707.22,13227024.24,6511765.78,4273346.29,61.0528,81.4021,132.2752,65.1227,42.7385
10.06,5965474.38,7953965.84,12925194.49,6363172.67,4175832.06,59.6597,79.5447,129.2569,63.6367,41.7633
10.29,5829347.19,7772462.92,12630252.24,6217970.33,4080543.03,58.2985,77.7296,126.3075,62.1847,40.8104
10.53,5696326.31,7595101.74,12342040.33,6076081.39,3987428.42,56.9683,75.9560,123.4254,60.7658,39.8793
10.78,5566340.85,7421787.81,12060405.18,5937430.24,3896438.60,55.6684,74.2229,120.6091,59.3793,38.9694
11.03,5439321.56,7252428.75,11785196.71,5801943.00,3807525.09,54.3982,72.5293,117.8570,58.0244,38.0803
11.29,5315200.74,7086934.32,11516268.28,5669547.46,3720640.52,53.1570,70.8743,115.1677,56.7005,37.2114
