t_h,K_eff_MPa,K_meas_MPa,c_s_ms,dt_ns,eta_Pas,TAN,condition
3729.3,1316.0482,1316.0482,1229.92,40653.1053,0.05486,2.0104,RED
3739.3,1315.6431,1315.6431,1229.73,40659.3640,0.05487,2.0173,RED
3749.4,1315.2377,1315.2377,1229.54,40665.6302,0.05489,2.0243,RED
3759.4,1314.8320,1314.8320,1229.35,40671.9041,0.05490,2.0312,RED
3769.4,1314.4259,1314.4259,1229.16,40678.1856,0.05491,2.0381,RED
3779.4,1314.0196,1314.0196,1228.97,40684.4748,0.05493,2.0450,RED
3789.5,1313.6129,1313.6129,1228.78,40690.7717,0.05494,2.0520,RED
3799.5,1313.2059,1313.2059,1228.59,40697.0764,0.05495,2.0589,RED
3809.5,1312.7987,1312.7987,1228.40,40703.3888,0.05497,2.0659,RED
3819.5,1312.3911,1312.3911,1228.21,40709.7089,0.05498,2.0729,RED
3829.6,1311.9832,1311.9832,1228.02,40716.0369,0.05499,2.0799,RED
3839.6,1311.5750,1311.5750,1227.83,40722.3727,0.05500,2.0869,RED
3849.6,1311.1664,1311.1664,1227.64,40728.7163,0.05502,2.0939,RED
3859.6,1310.7576,1310.7576,1227.44,40735.0678,0.05503,2.1009,RED
3869.7,1310.3484,1310.3484,1227.25,40741.4272,0.05504,2.1079,RED
3879.7,1309.9389,1309.9389,1227.06,40747.7945,0.05506,2.1149,RED
3889.7,1309.5291,1309.5291,1226.87,40754.1698,0.05507,2.1220,RED
3899.7,1309.1190,1309.1190,1226.68,40760.5530,0.05508,2.1290,RED
3909.8,1308.7086,1308.7086,1226.48,40766.9443,0.05509,2.1361,RED
3919.8,1308.2978,1308.2978,1226.29,40773.3435,0.05511,2.1431,RED
3929.8,1307.8867,1307.8867,1226.10,40779.7508,0.05512,2.1502,RED
3939.8,1307.4753,1307.4753,1225.91,40786.1662,0.05513,2.1573,RED
3949.9,1307.0636,1307.0636,1225.71,40792.5896,0.05514,2.1644,RED
3959.9,1306.6515,1306.6515,1225.52,40799.0212,0.05515,2.1715,RED
3969.9,1306.2391,1306.2391,1225.33,40805.4609,0.05517,2.1786,RED
3979.9,1305.8264,1305.8264,1225.13,40811.9087,0.05518,2.1857,RED
3990.0,1305.4134,1305.4134,1224.94,40818.3648,0.05519,2.1929,RED
4000.0,1305.0000,1305.0000,1224.74,40824.8290,0.05520,2.2000,RED
