V_acc_mL,K_SEA_α = 0 % (ideal)_Npm,K_SEA_α = 0.5 %_Npm,K_SEA_α = 2 %_Npm,K_SEA_Wasserglykol HFC_Npm
0.0085,754895413.7,418804667.8,179310074.5,1366337181.8
0.0089,720752710.6,399862807.5,171200168.8,1304539952.8
0.0093,688154226.9,381777657.1,163457061.0,1245537712.9
0.0098,657030120.2,364510468.9,156064161.6,1189204049.2
0.0102,627313706.6,348024247.7,149005631.0,1135418266.4
0.0107,598941318.5,332283671.8,142266346.4,1084065127.9
0.0112,571852167.8,317255016.8,135831868.8,1035034609.0
0.0118,545988215.7,302906083.6,129688412.3,988221661.5
0.0123,521294048.6,289206129.6,123822814.4,943525988.2
0.0129,497716758.8,276125802.4,118222508.0,900851828.2
0.0135,475205831.8,263637077.3,112875494.5,860107751.6
0.0141,453713037.8,251713197.1,107770317.8,821206464.0
0.0148,433192328.2,240328614.8,102896040.0,784064619.0
0.0155,413599737.3,229458938.8,98242217.9,748602639.7
0.0163,394893287.6,219080880.8,93798880.7,714744548.6
0.0170,377032900.6,209172205.6,89556508.4,682417804.5
0.0178,359980310.0,199711683.8,85506011.9,651553146.8
0.0187,343698980.7,190679046.2,81638712.8,622084447.9
0.0196,328154029.6,182054940.2,77946325.3,593948570.8
0.0205,313312151.7,173820888.6,74420938.6,567085234.0
0.0215,299141547.9,165959249.9,71054999.5,541436882.7
0.0225,285611857.8,158453180.4,67841296.4,516948565.0
0.0235,272694093.7,151286598.4,64772943.9,493567814.4
0.0247,260360579.2,144444149.4,61843368.0,471244537.5
0.0258,248584889.8,137911173.3,59046292.1,449930906.4
0.0270,237341795.8,131673673.1,56375723.5,429581256.6
0.0283,226607208.8,125718285.1,53825940.3,410151988.6
0.0297,216358129.9,120032249.6,51391479.8,391601475.1
0.0311,206572600.4,114603384.4,49067126.0,373889971.4
0.0326,197229654.5,109420058.0,46847898.9,356979530.5
0.0341,188309275.1,104471165.1,44729044.0,340833921.5
0.0357,179792350.0,99746102.6,42706021.4,325418552.5
0.0374,171660631.7,95234747.1,40774496.8,310700395.8
0.0392,163896698.0,90927433.0,38930332.1,296647917.5
0.0410,156483914.4,86814931.7,37169575.9,283231010.2
0.0430,149406399.1,82888432.3,35488455.9,270420928.1
0.0450,142648988.5,79139522.0,33883370.2,258190225.2
0.0471,136197204.6,75560169.0,32350880.0,246512697.4
0.0494,130037224.5,72142704.3,30887701.8,235363325.3
0.0517,124155850.4,68879806.0,29490700.8,224718221.4
0.0542,118540481.3,65764483.4,28156883.9,214554578.4
0.0567,113179086.4,62790061.8,26883393.4,204850620.5
0.0594,108060178.7,59950168.5,25667500.9,195585557.1
0.0622,103172790.9,57238719.0,24506601.2,186739537.5
0.0652,98506451.9,54649903.9,23398207.1,178293609.1
0.0683,94051163.8,52178176.8,22339943.9,170229676.5
0.0715,89797381.2,49818242.0,21329544.2,162530462.5
0.0749,85735990.3,47565043.2,20364843.3,155179471.6
0.0784,81858289.7,45413752.9,19443774.3,148160954.2
0.0821,78155971.1,43359762.1,18564363.7,141459873.0
0.0860,74621102.5,41398669.9,17724727.4,135061870.9
0.0901,71246110.3,39526274.8,16923066.6,128953240.1
0.0944,68023763.5,37738565.1,16157663.5,123120892.8
0.0988,64947158.3,36031710.6,15426878.5,117552333.2
0.1035,62009703.0,34402054.4,14729145.6,112235630.6
0.1084,59205104.0,32846104.9,14062970.1,107159393.9
0.1136,56527352.6,31360528.5,13426924.6,102312747.2
0.1190,53970711.5,29942142.3,12819646.4,97685306.5
0.1246,51529703.2,28587907.5,12239834.5,93267157.5
0.1305,49199097.8,27294922.5,11686246.5,89048834.3
0.1367,46973901.9,26060417.1,11157696.4,85021299.0
0.1431,44849348.0,24881746.4,10653051.8,81175922.7
0.1499,42820884.2,23756385.2,10171231.4,77504466.5
0.1570,40884164.6,22681922.1,9711203.0,73999064.4
0.1645,39035039.8,21656055.3,9271980.9,70652205.9
0.1723,37269547.8,20676586.9,8852624.2,67456720.5
0.1804,35583906.2,19741418.2,8452234.3,64405761.7
0.1890,33974503.5,18848545.6,8069953.3,61492792.9
0.1979,32437891.4,17996056.3,7704962.3,58711573.0
0.2073,30970777.9,17182123.7,7356479.3,56056143.1
0.2171,29570019.5,16405003.9,7023757.6,53520814.1
0.2274,28232615.2,15663032.0,6706084.4,51100153.9
0.2382,26955699.5,14954618.3,6402779.0,48788976.3
0.2495,25736536.6,14278245.0,6113191.6,46582329.5
0.2613,24572514.6,13632463.0,5836701.8,44475485.8
0.2736,23461139.3,13015888.7,5572717.2,42463931.3
0.2866,22400029.8,12427201.0,5320672.2,40543356.1
0.3002,21386912.5,11865138.7,5080026.7,38709645.4
0.3144,20419616.9,11328497.6,4850265.3,36958870.6
0.3293,19496070.6,10816127.9,4630895.6,35287280.4
0.3449,18614294.7,10326931.9,4421447.7,33691293.6
0.3612,17772400.2,9859861.4,4221472.7,32167490.6
0.3783,16968583.1,9413915.8,4030542.3,30712606.9
0.3963,16201121.5,8988139.5,3848247.4,29323525.2
0.4150,15468370.9,8581620.4,3674197.4,27997269.4
0.4347,14768761.4,8193487.6,3508019.3,26730998.0
0.4553,14100794.1,7822909.3,3349357.3,25521998.0
0.4769,13463037.9,7469091.8,3197871.2,24367679.2
0.4995,12854126.4,7131276.8,3053236.7,23265568.3
0.5231,12272755.0,6808740.6,2915143.7,22213304.2
0.5479,11717678.0,6500792.3,2783296.4,21208632.2
0.5738,11187706.3,6206771.9,2657412.4,20249399.9
0.6010,10681704.4,5926049.6,2537221.9,19333552.2
0.6295,10198588.1,5658023.9,2422467.5,18459126.8
0.6593,9737322.4,5402120.6,2312903.2,17624250.2
0.6906,9296919.0,5157791.4,2208294.3,16827133.8
0.7233,8876434.4,4924512.8,2108416.7,16066069.7
0.7575,8474967.5,4701785.0,2013056.4,15339427.2
0.7934,8091658.4,4489130.9,1922009.1,14645649.6
0.8310,7725685.7,4286094.7,1835079.7,13983250.5
0.8704,7376265.4,4092241.6,1752082.0,13350810.6
0.9116,7042648.8,3907156.1,1672838.2,12746975.0
0.9548,6724121.2,3730441.7,1597178.4,12170449.8
1.0000,6420000.0,3561719.8,1524940.6,11620000.0
