phi_pct,K_Reuss_MPa,K_Voigt_MPa,K_Maxwell_MPa
94.0,1528.706,1540.936,1536.911
94.3,1527.083,1538.662,1534.848
94.6,1525.463,1536.388,1532.787
95.0,1523.846,1534.114,1530.727
95.3,1522.233,1531.839,1528.669
95.7,1520.623,1529.565,1526.611
96.0,1519.016,1527.291,1524.556
96.3,1517.413,1525.017,1522.502
96.7,1515.813,1522.742,1520.449
97.0,1514.217,1520.468,1518.398
97.3,1512.624,1518.194,1516.348
97.7,1511.035,1515.920,1514.299
98.0,1509.448,1513.645,1512.252
98.3,1507.865,1511.371,1510.207
98.7,1506.286,1509.097,1508.162
99.0,1504.709,1506.823,1506.120
99.3,1503.136,1504.548,1504.078
99.7,1501.566,1502.274,1502.038
100.0,1500.000,1500.000,1500.000
