t_h,delta_eta_Pas,K_alt_MPa,K_ratio,lambda_ox,lambda_fri,lambda_cav,lambda_tot
721.4,0.21643,1011.9490,0.6746,41932487065996.7734,0.0000,0.1355,41932487065996.9062
731.5,0.21944,1008.5714,0.6724,64826520763234.0156,0.0000,0.1355,64826520763234.1484
741.5,0.22244,1005.2169,0.6701,100220093972768.9531,0.0000,0.1355,100220093972769.0938
751.5,0.22545,1001.8850,0.6679,154937626108216.6562,0.0000,0.1355,154937626108216.7812
761.5,0.22846,998.5753,0.6657,239529489870285.0312,0.0000,0.1355,239529489870285.1562
771.5,0.23146,995.2872,0.6635,370306283623104.4375,0.0000,0.1355,370306283623104.5625
781.6,0.23447,992.0204,0.6613,572483762917934.6250,0.0000,0.1355,572483762917934.7500
791.6,0.23747,988.7745,0.6592,885044821810935.8750,0.0000,0.1355,885044821810936.0000
801.6,0.24048,985.5491,0.6570,1368255987946031.0000,0.0000,0.1355,1368255987946031.2500
811.6,0.24349,982.3437,0.6549,2115287726015441.2500,0.0000,0.1355,2115287726015441.5000
821.6,0.24649,979.1581,0.6528,3270179120902947.0000,0.0000,0.1355,3270179120902947.0000
831.7,0.24950,975.9919,0.6507,5055610804745710.0000,0.0000,0.1355,5055610804745710.0000
841.7,0.25251,972.8447,0.6486,7815841170805430.0000,0.0000,0.1355,7815841170805430.0000
851.7,0.25551,969.7161,0.6465,12083084629440526.0000,0.0000,0.1355,12083084629440526.0000
861.7,0.25852,966.6059,0.6444,18680130643849612.0000,0.0000,0.1355,18680130643849612.0000
871.7,0.26152,963.5138,0.6423,28878990056982160.0000,0.0000,0.1355,28878990056982160.0000
881.8,0.26453,960.4393,0.6403,44646158135187960.0000,0.0000,0.1355,44646158135187960.0000
891.8,0.26754,957.3823,0.6383,69021784774992872.0000,0.0000,0.1355,69021784774992872.0000
901.8,0.27054,954.3424,0.6362,106705861657797248.0000,0.0000,0.1355,106705861657797248.0000
911.8,0.27355,951.3193,0.6342,164964452154505440.0000,0.0000,0.1355,164964452154505440.0000
921.8,0.27655,948.3128,0.6322,255030698893642016.0000,0.0000,0.1355,255030698893642016.0000
