T_C,t_L_niedrig (0.1 %/h)_h,t_L_mittel  (0.3 %/h)_h,t_L_typisch (1 %/h)_h,t_L_hoch    (3 %/h)_h
59.3,56532089852425682944.0,4517687170642308608.0,283331617243056320.0,22642071354476388.0
59.7,55004391412996628480.0,4395603170945226752.0,275674987696314784.0,22030201933693056.0
60.2,53521513724890415104.0,4277100962293874688.0,268242994033219264.0,21436283992366124.0
60.6,52082042655636717568.0,4162067536162730496.0,261028548802361696.0,20859751146192772.0
61.0,50684611702276743168.0,4050393690275678208.0,254024803265365632.0,20300056087306268.0
61.4,49327900288898932736.0,3941973892555817984.0,247225138864351904.0,19756669902409820.0
61.8,48010632128442720256.0,3836706150211188224.0,240623159011508576.0,19229081416650884.0
62.2,46731573646217453568.0,3734491883752358912.0,234212681187968736.0,18716796562213464.0
62.6,45489532462692286464.0,3635235805746598400.0,227987729339747552.0,18219337770649468.0
63.0,44283355933210583040.0,3538845804121078272.0,221942526558976768.0,17736243388009242.0
63.4,43111929742383661056.0,3445232829835711488.0,216071488039185952.0,17267067111872200.0
63.8,41974176551012089856.0,3354310788753655808.0,210369214293844768.0,16811377449415594.0
64.2,40869054693463285760.0,3265996437543970304.0,204830484627785600.0,16368757195691896.0
64.6,39795556923533352960.0,3180209283458820096.0,199450250851623296.0,15938802931324968.0
65.0,38752709206888620032.0,3096871487833042944.0,194223631229626400.0,15521124538862184.0
65.4,37739569558270246912.0,3015907773160890368.0,189145904651934880.0,15115344737054944.0
65.8,36755226921712820224.0,2937245333610181120.0,184212505022358976.0,14721098632367018.0
66.2,35798800092107014144.0,2860813748840405504.0,179419015853388608.0,14338033287041896.0
66.6,34869436676495360000.0,2786544900996052480.0,174761165060340640.0,13965807303083936.0
67.0,33966312093561913344.0,2714372894752150016.0,170234819946928640.0,13604090421536818.0
67.4,33088628609841676288.0,2644233980294215680.0,165835982374867744.0,13252563136468898.0
67.8,32235614411224805376.0,2576066479118742528.0,161560784110372000.0,12910916323094706.0
68.2,31406522708400635904.0,2509810712545945088.0,157405482340754304.0,12578850879489960.0
68.6,30600630874934140928.0,2445408932840275968.0,153366455354575456.0,12256077381376388.0
69.0,29817239616720011264.0,2382805256838451200.0,149440198379054176.0,11942315749473862.0
69.4,29055672171615555584.0,2321945601989169152.0,145623319568729248.0,11637294928939636.0
69.8,28315273538093883392.0,2262777624711951360.0,141912536139567856.0,11340752580430736.0
70.2,27595409731814912000.0,2205250660986998784.0,138304670642994304.0,11052434782347882.0
70.6,26895467069044219904.0,2149315669090556416.0,134796647374476784.0,10772095743832464.0
71.0,26214851475905261568.0,2094925174394718976.0,131385488911587792.0,10499497528110206.0
71.4,25552987822479400960.0,2042033216152914176.0,128068312776598336.0,10234409785786814.0
71.8,24909319280815964160.0,1990595296196127232.0,124842328218906336.0,9976609497719982.0
72.2,24283306705946923008.0,1940568329467507712.0,121704833112761328.0,9725880727105178.0
72.6,23674428039038365696.0,1891910596326008576.0,118653210965935712.0,9482014380427558.0
73.0,23082177731845677056.0,1844581696552483328.0,115684928035167664.0,9244807976946402.0
73.4,22506066191670747136.0,1798542504994176256.0,112797530544357456.0,9014065426390962.0
73.8,21945619246053474304.0,1753755128786251008.0,109988642001669712.0,8789596814560223.0
74.2,21400377626457411584.0,1710182866091213312.0,107255960611831648.0,8571218196530155.0
74.6,20869896470240104448.0,1667790166299528704.0,104597256780072176.0,8358751397184296.0
75.0,20353744840227012608.0,1626542591637007872.0,102010370704287472.0,8152023818794864.0
75.4,19851505261232353280.0,1586406780126483968.0,99493210052142880.0,7950868255391413.0
75.8,19362773272898207744.0,1547350409853539840.0,97043747719959408.0,7755122713665220.0
76.2,18887156998245924864.0,1509342164487866368.0,94660019670348560.0,7564630240166735.0
76.6,18424276727359698944.0,1472351700013883648.0,92340122845687456.0,7379238754563702.0
77.0,17973764515640514560.0,1436349612625739520.0,90082213154619024.0,7198800888734989.0
77.4,17535263796097185792.0,1401307407744058112.0,87884503528904128.0,7023173831486489.0
77.8,17108429005153880064.0,1367197470112845312.0,85745262048016624.0,6852219178680625.0
78.2,16692925221480415232.0,1333993034937088000.0,83662810129006944.0,6685802788581687.0
78.6,16288427817366239232.0,1301668160022768384.0,81635520779232976.0,6523794642225133.0
79.0,15894622122180354048.0,1270197698882708480.0,79661816909664192.0,6366068708627520.0
79.4,15511203097474922496.0,1239557274772903680.0,77740169706542368.0,6212502814659925.0
79.8,15137875023307360256.0,1209723255625369344.0,75869097059267984.0,6062978519414567.0
80.3,14774351195375357952.0,1180672729845085952.0,74047162042479616.0,5917380992902188.0
80.7,14420353632568365056.0,1152383482939362688.0,72272971450339280.0,5775598898921404.0
81.1,14075612794561394688.0,1124833974949720704.0,70545174381148672.0,5637524281950193.0
81.5,13739867309085767680.0,1098003318657094016.0,68862460870464920.0,5503052457913136.0
81.9,13412863708527622144.0,1071871258532449920.0,67223560570965984.0,5372081908684617.0
82.3,13094356175518816256.0,1046418150406020480.0,65627241477384664.0,5244514180193606.0
82.7,12784106297195141120.0,1021624941829174272.0,64072308694882264.0,5120253783999871.0
83.1,12481882827812790272.0,997473153104224640.0,62557603249312496.0,4999208102217792.0
83.5,12187461459420688384.0,973944858958012800.0,61082000937860560.0,4881287295666705.0
83.9,11900624600303286272.0,951022670836456448.0,59644411218626696.0,4766404215133438.0
84.3,11621161160913993728.0,928689719797703936.0,58243776137751872.0,4654474315634981.0
84.7,11348866347033886720.0,906929639982685184.0,56879069292755632.0,4545415573575002.0
85.1,11083541459897567232.0,885726552642434688.0,55549294830792432.0,4439148406690826.5
85.5,10824993703039526912.0,865065050702474112.0,54253486480590240.0,4335595596692092.5
85.9,10573035995622027264.0,844930183845156992.0,52990706616873792.0,4234682214495370.5
86.3,10327486792015747072.0,825307444091694080.0,51760045356125672.0,4136335547963110.5
86.7,10088169907412269056.0,806182751866206976.0,50560619682578520.0,4040485032058461.5
87.1,9854914349255505920.0,787542442524793088.0,49391572603370784.0,3947062181330663.5
87.5,9627554154287429632.0,769373253333250432.0,48252072331840720.0,3856000524649065.5
87.9,9405928231011561472.0,751662310877756032.0,47141311497973488.0,3767235542107055.0
88.3,9189880207382821888.0,734397118893202176.0,46058506385042216.0,3680704604019232.0
88.7,8979258283542643712.0,717565546494716928.0,45002896191535088.0,3596346911939292.0
89.1,8773915089421418496.0,701155816798152960.0,43973742317477040.0,3514103441627370.0
89.5,8573707547040376832.0,685156495916123904.0,42970327674304344.0,3433916887899578.0
89.9,8378496737347216384.0,669556482316349824.0,41991956017461792.0,3355731611293392.0
90.3,8188147771430304768.0,654344996529911040.0,41037951300944712.0,3279493586486733.5
90.7,8002529665957581824.0,639511571197111808.0,40107657053014616.0,3205150352409110.0
91.1,7821515222695544832.0,625046041439400576.0,39200435772363800.0,3132650963986907.5
91.5,7644980911966170112.0,610938535545983616.0,38315668344016272.0,3061945945465886.0
91.9,7472806759906736128.0,597179465964342272.0,37452753474288384.0,2992987245256806.5
92.3,7304876239401452544.0,583759520584179456.0,36611107144152072.0,2925728192251678.0
92.7,7141076164558256128.0,570669654304672000.0,35790162080366060.0,2860123453559905.0
93.1,6981296588610206720.0,557901080875395200.0,34989367243770644.0,2796128993616045.5
93.5,6825430705123216384.0,545445265001470016.0,34208187334153484.0,2733702034611813.5
93.9,6673374752397551616.0,533293914703935360.0,33446102311122132.0,2672801018207240.0
94.3,6525027920954508288.0,521438973926667776.0,32702606930439028.0,2613385568477501.5
94.7,6380292264002308096.0,509872615381382528.0,31977210295288040.0,2555416456052974.5
95.1,6239072610781059072.0,498587233622710080.0,31269435421970432.0,2498855563412407.5
95.5,6101276482688356352.0,487575438345485376.0,30578818819537128.0,2443665851289786.0
95.9,5966814012091403264.0,476830047896724928.0,29904910082885372.0,2389811326157194.5
96.3,5835597863735074816.0,466344082995056832.0,29247271498866032.0,2337257008747397.0
96.7,5707543158658526208.0,456110760650616960.0,28605477664963316.0,2285968903581137.5
97.1,5582567400535072768.0,446123488278598080.0,27979115120119668.0,2235913969464995.2
97.5,5460590404354700288.0,436375858000006592.0,27367781987301612.0,2187060090927508.2
97.9,5341534227370166272.0,426861641123312256.0,26771087627410440.0,2139376050561904.8
98.3,5225323102230761472.0,417574782800920576.0,26188652304157128.0,2092831502245025.8
98.7,5111883372231003136.0,408509396854657920.0,25620106859537092.0,2047396945203316.2
99.1,5001143428603027456.0,399659760764576448.0,25065092399547644.0,2003043698897356.2
99.5,4893033649785330688.0,391020310815695168.0,24523259989810660.0,1959743878697945.5
99.9,4787486342601240576.0,382585637397356224.0,23994270360766644.0,1917470372327077.5
100.4,4684435685284628480.0,374350480450199040.0,23477793622126792.0,1876196817038756.5
100.8,4583817672290850816.0,366309725055800576.0,22973508986272548.0,1835897577514835.0
101.2,4485570060834269696.0,358458397164291520.0,22481104500308440.0,1796547724452374.2
101.6,4389632319095317504.0,350791659455392512.0,22000276786482508.0,1758123013819684.2
102.0,4295945576041775616.0,343304807328448064.0,21530730790696972.0,1720599866758886.8
102.4,4204452572811464704.0,335993265017238464.0,21072179538844464.0,1683955350113848.0
102.8,4115097615604939264.0,328852581825462080.0,20624343900712248.0,1648167157562896.2
103.2,4027826530038361600.0,321878428478905024.0,20186952361204628.0,1613213591336363.2
103.6,3942586616909375488.0,315066593590530368.0,19759740798647172.0,1579073544500060.8
104.0,3859326609329184768.0,308412980234744064.0,19342452269938156.0,1545726483785940.8
104.4,3777996631176563200.0,301913602627302784.0,18934836802325368.0,1513152432952215.2
104.8,3698548156830815232.0,295564582907426112.0,18536651191592840.0,1481331956655715.2
105.2,3620933972141832192.0,289362148018770816.0,18147658806447764.0,1450246144819731.0
105.6,3545108136597184512.0,283302626686063680.0,17767629398906778.0,1419876597481281.8
106.0,3471025946647924224.0,277382446484331744.0,17396338920489578.0,1390205410102472.0
106.4,3398643900154740224.0,271598130997663744.0,17033569344027582.0,1361215159330566.8
106.8,3327919661919068672.0,265946297064674368.0,16679108490910258.0,1332888889192609.8
107.2,3258812030263934464.0,260423652107856512.0,16332749863592568.0,1305210097710478.5
107.6,3191280904630492672.0,255026991544101600.0,15994292483192962.0,1278162723922741.2
108.0,3125287254158157312.0,249753196273822400.0,15663540732021014.0,1251731135300463.0
108.4,3060793087216341504.0,244599230246122048.0,15340304200874370.0,1225900115544142.0
108.8,2997761421857584128.0,239562138097595072.0,15024397540953616.0,1200654852749683.0
109.2,2936156257162478592.0,234639042862394880.0,14715640320246692.0,1175980927931547.2
109.6,2875942545448173568.0,229827143751313344.0,14413856884241466.0,1151864303891782.2
110.0,2817086165312682496.0,225123713997651968.0,14118876220827246.0,1128291314423805.0
