K_eff_MPa,f_h_Hz,delta_x_mm
2029.4,14.340,9.8550
2036.5,14.364,9.8210
2043.5,14.389,9.7872
2050.5,14.414,9.7537
2057.5,14.439,9.7204
2064.5,14.463,9.6873
2071.6,14.488,9.6545
2078.6,14.512,9.6219
2085.6,14.537,9.5895
2092.6,14.561,9.5573
2099.7,14.586,9.5253
2106.7,14.610,9.4936
2113.7,14.634,9.4620
2120.7,14.659,9.4307
2127.8,14.683,9.3996
2134.8,14.707,9.3686
2141.8,14.731,9.3379
2148.8,14.755,9.3074
2155.9,14.779,9.2771
2162.9,14.804,9.2469
2169.9,14.828,9.2170
2176.9,14.852,9.1873
2183.9,14.875,9.1577
2191.0,14.899,9.1284
2198.0,14.923,9.0992
2205.0,14.947,9.0702
2212.0,14.971,9.0414
2219.1,14.995,9.0128
2226.1,15.018,8.9844
2233.1,15.042,8.9561
2240.1,15.066,8.9280
2247.2,15.089,8.9001
2254.2,15.113,8.8724
2261.2,15.136,8.8448
2268.2,15.160,8.8175
2275.3,15.183,8.7902
2282.3,15.207,8.7632
2289.3,15.230,8.7363
2296.3,15.253,8.7096
2303.3,15.277,8.6830
2310.4,15.300,8.6566
2317.4,15.323,8.6304
2324.4,15.346,8.6043
2331.4,15.370,8.5784
2338.5,15.393,8.5526
2345.5,15.416,8.5270
2352.5,15.439,8.5016
2359.5,15.462,8.4763
2366.6,15.485,8.4511
2373.6,15.508,8.4261
2380.6,15.531,8.4012
2387.6,15.554,8.3765
2394.6,15.577,8.3520
2401.7,15.599,8.3275
2408.7,15.622,8.3032
2415.7,15.645,8.2791
2422.7,15.668,8.2551
2429.8,15.690,8.2312
2436.8,15.713,8.2075
2443.8,15.736,8.1839
2450.8,15.758,8.1605
2457.9,15.781,8.1372
2464.9,15.803,8.1140
2471.9,15.826,8.0909
2478.9,15.848,8.0680
2486.0,15.871,8.0452
2493.0,15.893,8.0225
2500.0,15.915,8.0000
